Year;Reference;Electric;Electric - Low;Electric - High;Hybrid-Electric;Hybrid-Electric - Low;Hybrid-Electric - High;Hydrogen;Hydrogen - Low;Hydrogen - High;Mix
2019;1127.47677;1127.47676976;1127.47676976;1127.47676976;1127.47676976;1127.47676976;1127.47676976;1127.47676976;1127.47676976;1127.47676976;1127.47676976
2020;612.4321454;612.432145371958;612.432145371958;612.432145371958;612.432145371958;612.432145371958;612.432145371958;612.432145371958;612.432145371958;612.432145371958;612.432145371958
2021;523.1820919;523.182091927095;523.182091927095;523.182091927095;525.822925665997;525.822925665997;525.822925665997;523.182091927095;523.182091927095;523.182091927095;525.822925665997
2022;674.948589;674.948589003373;674.948589003373;674.948589003373;681.874348144373;681.874348144373;681.874348144373;674.948589003373;674.948589003373;674.948589003373;681.874348144373
2023;818.5513511;818.551351124441;818.551351124441;818.551351124441;830.675410029835;830.675410029835;830.675410029835;818.551351124441;818.551351124441;818.551351124441;830.675410029835
2024;956.1155079;956.115507915685;956.115507915685;956.115507915685;973.334358813373;973.334358813373;973.334358813373;956.115507915685;956.115507915685;956.115507915685;973.334358813373
2025;962.142963;962.142962988381;962.142962988381;962.142962988381;971.404220753747;971.404220753747;971.404220753747;962.142962988381;962.142962988381;962.142962988381;971.404220753747
2026;972.8215515;972.821551508581;972.821551508581;972.821551508581;972.567412432345;972.567412432345;972.567412432345;972.821551508581;972.821551508581;972.821551508581;972.567412432345
2027;986.969231;986.969230950541;986.969230950541;986.969230950541;975.872816579103;975.872816579103;975.872816579103;986.969230950541;986.969230950541;986.969230950541;975.872816579103
2028;1004.207258;1004.20725781191;1004.20725781191;1004.20725781191;981.286691931378;981.286691931378;981.286691931378;1004.20725781191;1004.20725781191;1004.20725781191;981.286691931378
2029;1024.003511;1024.00351120748;1024.00351120748;1024.00351120748;988.600896608448;988.600896608448;988.600896608448;1024.00351120748;1024.00351120748;1024.00351120748;988.600896608448
2030;1045.792884;1045.79288437606;1041.77561315083;1045.79288437606;997.110345361687;997.110345361687;997.110345361687;1045.79288437606;1045.79288437606;1045.79288437606;997.110345361687
2031;1069.043621;1069.04362100212;1063.03190935571;1069.04362100212;1007.07861421756;1007.07861421756;1007.07861421756;1069.04362100212;1069.04362100212;1069.04362100212;1007.07861421756
2032;1093.28787;1093.28787021574;1084.33043979214;1093.28787021574;1017.82914473879;1017.82914473879;1017.82914473879;1093.28787021574;1093.28787021574;1093.28787021574;1017.82914473879
2033;1118.137874;1118.13787353212;1104.877638657;1118.13787353212;1028.99889692749;1028.99889692749;1028.99889692749;1118.13787353212;1118.13787353212;1118.13787353212;1028.99889692749
2034;1143.302911;1143.30291140129;1123.85385794278;1143.30291140129;1040.28714614553;1040.28714614553;1040.28714614553;1143.30291140129;1143.30291140129;1143.30291140129;1040.28714614553
2035;1163.945199;1163.94519926545;1135.89729970818;1163.94519926545;1045.34744992565;1045.34744992565;1045.34744992565;1155.68834446633;1150.83909391629;1163.94519926545;1045.34744992565
2036;1187.06505;1187.06505031756;1147.21458344535;1187.06505031756;1054.11450207582;1054.11450207582;1054.11450207582;1174.75521611308;1167.52773278516;1187.06505031756;1054.11450207582
2037;1209.339795;1209.3397952942;1154.00724050607;1209.3397952942;1061.9691257344;1061.9691257344;1061.9691257344;1191.0886410717;1180.37447226851;1209.3397952942;1061.9691257344
2038;1230.568842;1230.5688420518;1155.90981184167;1230.5688420518;1068.83074954366;1068.83074954366;1068.83074954366;1203.7119071282;1187.9465929532;1230.5688420518;1068.83074954366
2039;1250.491483;1250.49148261884;1153.12009359669;1250.49148261884;1074.63539996379;1074.63539996379;1074.63539996379;1211.37604874792;1188.41405757796;1250.49148261884;1074.63539996379
2040;1268.723485;1266.61919278292;1146.4583485866;1268.72348506743;1079.27910722631;1079.27910722631;1079.27910722631;1212.54780897573;1179.56718456894;1268.72348506743;1079.27910722631
2041;1284.757437;1281.64394616454;1137.20217460229;1284.75743747545;1082.57999416685;1082.57999416685;1082.57999416685;1205.58064231872;1159.08724089918;1284.75743747545;1082.57999416685
