Year;Reference;Electric;Hybrid-Electric;Hydrogen;Mix
2019;1127.47677;1127.47676976;1127.47676976;1127.47676976;1127.47676976
2020;612.4321454;612.432145371958;612.432145371958;612.432145371958;612.432145371958
2021;522.5361523;522.536152322484;522.536152322484;522.536152322484;522.536152322484
2022;673.7323401;673.732340072088;673.732340072088;673.732340072088;673.732340072088
2023;816.6385122;816.638512198839;816.638512198839;816.638512198839;816.638512198839
2024;953.4003173;953.400317293909;953.400317293909;953.400317293909;953.400317293909
2025;958.1397751;958.139775120978;958.139775120978;958.139775120978;958.139775120978
2026;963.5762145;963.576214510897;963.576214510897;963.576214510897;963.576214510897
2027;969.3680432;969.368043234871;969.368043234871;969.368043234871;969.368043234871
2028;975.9036782;975.903678228272;975.903678228272;975.903678228272;975.903678228272
2029;982.4468701;982.446870107863;982.446870107863;982.446870107863;982.446870107863
2030;988.2208901;988.22089010165;984.82274317174;988.22089010165;985.34173136812
2031;992.7967607;992.796760732572;987.817532052515;992.796760732572;988.581056386804
2032;995.373092;995.373091953278;988.11993816591;995.373091953278;989.235296257408
2033;995.4070504;995.4070503621;984.930730148983;995.4070503621;986.544882633178
2034;992.4623385;992.462338537839;977.505699896363;992.462338537839;979.813236942641
2035;982.2857864;982.285786378412;961.449641416127;975.410538807031;961.674135191148
2036;971.4762244;971.476224371932;942.874028589504;961.564369543278;942.975637346587
2037;957.7966851;957.796685064763;919.541856087185;943.619251759752;919.271275835475
2038;941.1018947;941.101894679866;891.565706823304;921.027607886493;890.449087601017
2039;921.228799;921.22879896681;859.507452453772;893.177304158515;856.74334857471
2040;897.9620875;896.503139024781;824.332358237188;859.433943458803;817.257466817234
2041;871.0550477;868.994292505875;787.202623367365;819.310491373459;775.082747192884
2042;840.3308167;837.450660561684;749.188693911895;772.78676776618;729.997494178327
2043;805.8469131;801.874076460408;711.063978602868;720.694633461568;682.841703537779
2044;768.0441214;762.651283796816;673.284849504418;664.942002509941;634.586712503436
2045;727.7599564;720.579718967731;636.092171161917;608.304152043089;586.407267450213
2046;687.0625235;677.706020791696;600.479130391118;554.517920305723;540.334426617549
2047;647.9084863;636.005811655912;567.307902209059;506.494744309561;498.091424853748
2048;610.8326248;596.120169007867;536.381847109805;465.098709255163;460.119929114159
2049;575.8909214;558.308769983084;507.331333801937;430.061361108556;426.369115070832
2050;542.765993;522.538341231089;479.675819651732;400.387554947464;396.441947969659
2051;510.9498068;488.603607513296;452.91224137644;374.81312447016;369.777970428474
2052;479.8962008;456.197154251709;426.579872626398;352.121382451288;345.766305203283
2053;449.1210338;424.950867413404;400.301116521784;331.301164173003;323.801722022888
2054;418.2342875;394.462940967199;373.784276563396;311.579172547383;303.31016577098
2055;386.9418611;364.337986073981;346.814529171981;292.396127930879;283.777421483334
2056;355.0307837;334.223295848047;319.238286678046;273.362092403828;264.772218598933
2057;322.350591;303.829760293656;290.947657215719;254.21185684651;245.955464530692
2058;288.7964484;272.935766392697;261.867521115555;234.768112270391;227.075000562186
2059;254.2959517;241.379922068436;231.945867619681;214.913877834008;207.951627178014
2060;218.7996606;209.049344335551;201.147079173479;194.57306567256;188.462684631738
