Year; Temperature change (mK) - Grewe et al. (CurTech); Temperature change (mK) - Grewe et al. (ECATS); Temperature change (mK) - Klower et al.; Temperature change (mK) - Klower et al. (only CO2)
1940;0.12280675;0.105134837;0.78863;0.0145935
1941;0.250718713;0.215007767;0.87636;0.030357
1942;0.380475074;0.326416403;0.96151;0.0473805
1943;0.51230973;0.439580351;1.04504;0.0657675
1944;0.646476328;0.554738343;1.12778;0.085626
1945;0.78322196;0.672122896;1.21045;0.107073
1946;0.92285794;0.792021513;1.29371;0.1302345
1947;1.06561077;0.9146474;1.37813;0.15525
1948;1.21169531;1.04020393;1.46423;0.1822635
1949;1.36146379;1.16901159;1.5525;0.2114415
1950;1.51510906;1.30125332;1.64338;0.2429505
1951;1.67285538;1.43713629;1.73731;0.276984
1952;1.83499885;1.57692862;1.8347;0.31374
1953;2.00174999;1.72082436;1.93594;0.3534345
1954;2.17330933;1.86900866;2.04145;0.396306
1955;2.35001183;2.0217824;2.15162;0.4426065
1956;2.53203487;2.17931151;2.26685;0.4926105
1957;2.71969104;2.3418777;2.38757;0.546615
1958;2.91320682;2.50969052;2.51421;0.6049395
1959;3.11287093;2.68301082;2.64722;0.6679305
1960;3.31902885;2.86215305;2.78708;0.7359615
1961;3.53187227;3.04729509;2.93545;0.810603
1962;3.75172257;3.23872924;3.09337;0.8928045
1963;3.9788177;3.43667579;3.25791;0.979542
1964;4.21352339;3.64146733;3.4286;1.0702485
1965;4.45612144;3.85336375;3.60778;1.167192
1966;4.70694923;4.07267332;3.79743;1.272258
1967;4.96633005;4.29969358;4.00841;1.396224
1968;5.23457003;4.53470755;4.23836;1.5366285
1969;5.51203299;4.77804899;4.47753;1.683648
1970;5.79906368;5.03003502;4.71978;1.8310455
1971;6.09606028;5.29103279;4.9692;1.9828125
1972;6.42972708;5.58480692;5.22931;2.1423915
1973;6.78658438;5.89942074;5.49798;2.3075505
1974;7.15037918;6.22038651;5.7644;2.467377
1975;7.53888512;6.56359434;6.03413;2.627325
1976;7.95704746;6.93352032;6.30745;2.787588
1977;8.39394665;7.32040691;6.59374;2.957436
1978;8.88864136;7.75937605;6.88935;3.133107
1979;9.44045258;8.24993229;7.19468;3.314889
1980;9.98758221;8.73638153;7.50501;3.4979459
1981;10.5298519;9.21856308;7.67317;3.67790285
1982;11.0630608;9.69272423;7.91015;3.86017623
1983;11.6017151;10.1719856;8.21445;4.04552966
1984;12.1675224;10.6759729;8.66122;4.24325165
1985;12.7589779;11.2033501;9.06974;4.44722191
1986;13.3716297;11.7501001;9.60944;4.66263216
1987;14.0305538;12.3389368;10.13826;4.88794522
1988;14.7215137;12.9569778;10.68024;5.12417923
1989;15.4182844;13.5804396;11.16054;5.37017243
1990;16.1443272;14.2306232;11.76279;5.61749947
1991;16.8169136;14.8324795;12.08018;5.85668414
1992;17.5003757;15.444438;12.83388;6.09642338
1993;18.1647358;16.039341;13.60249;6.33747087
1994;18.8694954;16.6712112;14.31295;6.59001665
1995;19.6105633;17.336338;15.06573;6.84871115
1996;20.4001198;18.0457802;15.81478;7.11911441
1997;21.2160416;18.7793961;16.5505;7.39775104
1998;22.0202656;19.5025482;17.23295;7.68188228
1999;22.8585663;20.2569103;18.07033;7.97517832
2000;23.7559128;21.0652313;19.20615;8.28366415
2001;24.5796604;21.8064976;19.75174;8.58039716
2002;25.3946342;22.539854;20.04509;8.87773025
2003;26.2123795;23.2759075;20.80663;9.17487706
2004;27.1679096;24.1377201;22.32726;9.49071605
2005;28.1899433;25.0602436;23.3847;9.8220776
2006;29.2546711;26.0219002;24.34424;10.1573027
2007;30.3899784;27.0480976;25.4463;10.5022629
2008;31.5065842;28.0571785;26.28902;10.8456275
2009;32.5565872;29.0054016;26.59891;11.1712428
2010;33.6736107;30.0149918;28.17995;11.5132992
2011;34.8404503;31.0701466;29.3924;11.8655001
2012;36.05513;32.1689987;30.31481;12.2215135
2013;37.3267746;33.3198776;31.3252;12.5876458
2014;38.6656914;34.5322151;32.47605;12.9652963
2015;40.1022453;35.833725;33.81321;13.3635714
2016;41.6385765;37.2029839;35.26275;13.781109
2017;43.2904396;38.6421204;36.72739;14.2232814
2018;45.0779228;40.1520767;37.83611;14.6884466
2019;46.941246;41.7367859;38.6294;14.6884466
