Year; Temperature change (mK) - Klower et al. - 3% growth; Temperature change (mK) - Klower et al. - 3% growth (only CO2); Temperature change (mK) - Klower et al. - 0% growth; Temperature change (mK) - Klower et al. - 0% growth (only CO2); Temperature change (mK) - Klower et al. - -2.5% growth; Temperature change (mK) - Klower et al. - -2.5% growth (only CO2)
1980;7.50501;3.4979459;7.50501;3.4979459;7.50501;3.4979459
1981;7.67317;3.67790285;7.67317;3.67790285;7.67317;3.67790285
1982;7.91015;3.86017623;7.91015;3.86017623;7.91015;3.86017623
1983;8.21445;4.04552966;8.21445;4.04552966;8.21445;4.04552966
1984;8.66122;4.24325165;8.66122;4.24325165;8.66122;4.24325165
1985;9.06974;4.44722191;9.06974;4.44722191;9.06974;4.44722191
1986;9.60944;4.66263216;9.60944;4.66263216;9.60944;4.66263216
1987;10.13826;4.88794522;10.13826;4.88794522;10.13826;4.88794522
1988;10.68024;5.12417923;10.68024;5.12417923;10.68024;5.12417923
1989;11.16054;5.37017243;11.16054;5.37017243;11.16054;5.37017243
1990;11.76279;5.61749947;11.76279;5.61749947;11.76279;5.61749947
1991;12.08018;5.85668414;12.08018;5.85668414;12.08018;5.85668414
1992;12.83388;6.09642338;12.83388;6.09642338;12.83388;6.09642338
1993;13.60249;6.33747087;13.60249;6.33747087;13.60249;6.33747087
1994;14.31295;6.59001665;14.31295;6.59001665;14.31295;6.59001665
1995;15.06573;6.84871115;15.06573;6.84871115;15.06573;6.84871115
1996;15.81478;7.11911441;15.81478;7.11911441;15.81478;7.11911441
1997;16.5505;7.39775104;16.5505;7.39775104;16.5505;7.39775104
1998;17.23295;7.68188228;17.23295;7.68188228;17.23295;7.68188228
1999;18.07033;7.97517832;18.07033;7.97517832;18.07033;7.97517832
2000;19.20615;8.28366415;19.20615;8.28366415;19.20615;8.28366415
2001;19.75174;8.58039716;19.75174;8.58039716;19.75174;8.58039716
2002;20.04509;8.87773025;20.04509;8.87773025;20.04509;8.87773025
2003;20.80663;9.17487706;20.80663;9.17487706;20.80663;9.17487706
2004;22.32726;9.49071605;22.32726;9.49071605;22.32726;9.49071605
2005;23.3847;9.8220776;23.3847;9.8220776;23.3847;9.8220776
2006;24.34424;10.1573027;24.34424;10.1573027;24.34424;10.1573027
2007;25.4463;10.5022629;25.4463;10.5022629;25.4463;10.5022629
2008;26.28902;10.8456275;26.28902;10.8456275;26.28902;10.8456275
2009;26.59891;11.1712428;26.59891;11.1712428;26.59891;11.1712428
2010;28.17995;11.5132992;28.17995;11.5132992;28.17995;11.5132992
2011;29.3924;11.8655001;29.3924;11.8655001;29.3924;11.8655001
2012;30.31481;12.2215135;30.31481;12.2215135;30.31481;12.2215135
2013;31.3252;12.5876458;31.3252;12.5876458;31.3252;12.5876458
2014;32.47605;12.9652963;32.47605;12.9652963;32.47605;12.9652963
2015;33.81321;13.3635714;33.81321;13.3635714;33.81321;13.3635714
2016;35.26275;13.781109;35.26275;13.781109;35.26275;13.781109
2017;36.72739;14.2232814;36.72739;14.2232814;36.72739;14.2232814
2018;37.83611;14.6884466;37.83611;14.6884466;37.83611;14.6884466
2019;38.6294;14.6884466;38.6294;14.6884466;38.6294;14.6884466
2020;32.7272727272727;15.4545454545454;32.7272727272727;15.4545454545454;32.7272727272727;15.4545454545454
2021;33.8636363636363;15.6818181818181;33.6363636363636;15.6818181818181;33.4090909090909;15.6818181818181
2022;36.1363636363636;16.1363636363636;35.2272727272727;16.1363636363636;34.5454545454545;16.1363636363636
2023;38.4090909090909;16.3636363636363;36.8181818181818;16.3636363636363;35.9090909090909;16.3636363636363
2024;41.3636363636363;16.8181818181818;39.090909090909;16.8181818181818;37.7272727272727;16.8181818181818
2025;42.4999999999999;17.2727272727272;39.9999999999999;17.2727272727272;37.7272727272727;17.2727272727272
2026;44.090909090909;17.7272727272727;40.9090909090908;17.7272727272727;38.1818181818181;17.7272727272727
2027;45.4545454545454;18.4090909090909;41.3636363636363;18.4090909090909;38.4090909090909;18.4090909090909
2028;46.590909090909;18.8636363636363;42.2727272727272;18.8636363636363;38.6363636363636;18.8636363636363
2029;48.1818181818181;19.7727272727272;42.9545454545454;19.090909090909;38.6363636363636;18.8636363636363
2030;49.5454545454545;20.2272727272727;43.1818181818181;19.3181818181818;38.8636363636363;18.8636363636363
2031;50.9090909090909;20.9090909090909;43.8636363636363;19.7727272727272;38.8636363636363;19.3181818181818
2032;52.7272727272727;21.3636363636363;44.5454545454545;20.2272727272727;38.8636363636363;19.5454545454545
2033;54.090909090909;21.8181818181818;45.2272727272727;20.6818181818181;39.090909090909;19.9999999999999
2034;55.9090909090909;22.7272727272727;45.9090909090909;21.1363636363636;39.3181818181818;20.2272727272727
2035;57.7272727272727;23.1818181818181;46.3636363636363;21.590909090909;39.3181818181818;20.4545454545454
2036;59.090909090909;23.8636363636363;47.0454545454545;22.0454545454545;39.3181818181818;20.6818181818181
2037;60.9090909090909;24.7727272727272;47.5;22.4999999999999;39.3181818181818;20.9090909090909
2038;62.9545454545454;25.4545454545454;48.1818181818181;22.9545454545454;39.3181818181818;21.3636363636363
2039;65;26.1363636363636;48.6363636363636;23.4090909090908;39.5454545454545;21.3636363636363
2040;66.8181818181818;27.0454545454545;49.3181818181818;23.8636363636363;39.5454545454545;21.8181818181818
2041;68.6363636363636;27.7272727272727;49.7727272727272;24.090909090909;39.5454545454545;21.8181818181818
2042;70.9090909090909;28.4090909090908;50.4545454545454;24.5454545454545;39.5454545454545;22.0454545454545
2043;72.9545454545454;29.3181818181818;50.9090909090909;24.9999999999999;39.5454545454545;22.4999999999999
2044;75.2272727272727;30.2272727272727;51.590909090909;25.4545454545454;39.5454545454545;22.7272727272727
2045;77.5;31.1363636363636;52.0454545454545;25.9090909090908;39.5454545454545;22.7272727272727
2046;79.7727272727272;32.0454545454545;52.5;26.3636363636363;39.5454545454545;23.1818181818181
2047;82.2727272727272;32.9545454545454;53.1818181818181;26.8181818181818;39.5454545454545;23.4090909090908
2048;84.7727272727272;33.8636363636363;53.6363636363636;27.2727272727272;39.5454545454545;23.4090909090908
2049;87.2727272727272;34.9999999999999;54.3181818181818;27.7272727272727;39.5454545454545;23.8636363636363
2050;89.7727272727272;35.6818181818181;54.7727272727272;27.9545454545454;39.5454545454545;23.8636363636363
