;ask_init;energy_consumption_init;rpk_init;rtk_init;total_aircraft_distance_init;airfare_per_rpk
2000;4.29E+12;8.33E+12;3.04E+12;1.18E+11;25982000000;0.082949239
2001;4.27E+12;8.14E+12;2.95E+12;1.11E+11;26157000000;0.082949239
2002;4.25E+12;8.22E+12;3.03E+12;1.27E+11;25507000000;0.082949239
2003;4.38E+12;8.14E+12;3.13E+12;1.34E+11;26560000000;0.082949239
2004;4.92E+12;8.70E+12;3.61E+12;1.50E+11;30122000000;0.082949239
2005;5.22E+12;9.03E+12;3.91E+12;1.54E+11;31857000000;0.082949239
2006;5.49E+12;9.14E+12;4.16E+12;1.64E+11;33179000000;0.082949239
2007;5.88E+12;9.40E+12;4.51E+12;1.73E+11;34935000000;0.082949239
2008;6.06E+12;9.28E+12;4.61E+12;1.71E+11;35769000000;0.082949239
2009;5.95E+12;8.77E+12;4.56E+12;1.56E+11;34868000000;0.082949239
2010;6.31E+12;9.25E+12;4.93E+12;1.88E+11;38366000000;0.082949239
2011;6.74E+12;9.51E+12;5.25E+12;1.89E+11;40441000000;0.082949239
2012;7.02E+12;9.62E+12;5.54E+12;1.87E+11;41454000000;0.082949239
2013;7.35E+12;9.87E+12;5.84E+12;1.88E+11;42740000000;0.082949239
2014;7.76E+12;1.02E+13;6.19E+12;1.97E+11;44460000000;0.082949239
2015;8.29E+12;1.07E+13;6.65E+12;1.99E+11;46704000000;0.082949239
2016;8.90E+12;1.13E+13;7.14E+12;2.06E+11;49204000000;0.082949239
2017;9.47E+12;1.20E+13;7.72E+12;2.25E+11;51588000000;0.082949239
2018;1.01E+13;1.26E+13;8.28E+12;2.32E+11;54279000000;0.082949239
2019;1.05E+13;1.27E+13;8.69E+12;2.25E+11;56199000000;0.082949239
2020;;;;;;0.082949239
2021;;;;;;0.082949239
2022;;;;;;0.082949239
2023;;;;;;0.082949239
2024;;;;;;0.082949239
2025;;;;;;0.082949239
2026;;;;;;0.082949239
2027;;;;;;0.082949239
2028;;;;;;0.082949239
2029;;;;;;0.082949239
2030;;;;;;0.082949239
2031;;;;;;0.082949239
2032;;;;;;0.082949239
2033;;;;;;0.082949239
2034;;;;;;0.082949239
2035;;;;;;0.082949239
2036;;;;;;0.082949239
2037;;;;;;0.082949239
2038;;;;;;0.082949239
2039;;;;;;0.082949239
2040;;;;;;0.082949239
2041;;;;;;0.082949239
2042;;;;;;0.082949239
2043;;;;;;0.082949239
2044;;;;;;0.082949239
2045;;;;;;0.082949239
2046;;;;;;0.082949239
2047;;;;;;0.082949239
2048;;;;;;0.082949239
2049;;;;;;0.082949239
2050;;;;;;0.082949239
