;ask_init;energy_consumption_init;rpk_init;rtk_init;total_aircraft_distance_init;rpk_short_range;rpk_medium_range;rpk_long_range;rpk;annual_growth_rate_passenger_short_range;annual_growth_rate_passenger_medium_range;annual_growth_rate_passenger_long_range;annual_growth_rate_passenger
2000;4.29E+12;8.33E+12;3.04E+12;1.18E+11;25982000000;8.26208E+11;1.06617E+12;1.14515E+12;3.03753E+12;;;;
2001;4.27E+12;8.14E+12;2.95E+12;1.11E+11;26157000000;8.02278E+11;1.03529E+12;1.11198E+12;2.94955E+12;-2.896432299;3;-2.896432299;-2.896432299
2002;4.25E+12;8.22E+12;3.03E+12;1.27E+11;25507000000;8.22952E+11;1.06197E+12;1.14064E+12;3.02556E+12;2.577003272;3;2.577003272;2.577003272
2003;4.38E+12;8.14E+12;3.13E+12;1.34E+11;26560000000;8.51491E+11;1.0988E+12;1.18019E+12;3.13048E+12;3.467787781;3;3.467787781;3.467787781
2004;4.92E+12;8.70E+12;3.61E+12;1.50E+11;30122000000;9.81569E+11;1.26666E+12;1.36048E+12;3.60871E+12;15.27657101;3;15.27657101;15.27657101
2005;5.22E+12;9.03E+12;3.91E+12;1.54E+11;31857000000;1.0645E+12;1.37368E+12;1.47543E+12;3.91361E+12;8.449002552;3;8.449002552;8.449002552
2006;5.49E+12;9.14E+12;4.16E+12;1.64E+11;33179000000;1.13283E+12;1.46184E+12;1.57013E+12;4.1648E+12;6.418370763;3;6.418370763;6.418370763
2007;5.88E+12;9.40E+12;4.51E+12;1.73E+11;34935000000;1.22756E+12;1.5841E+12;1.70144E+12;4.5131E+12;8.3629466;3;8.3629466;8.3629466
2008;6.06E+12;9.28E+12;4.61E+12;1.71E+11;35769000000;1.2535E+12;1.61757E+12;1.73739E+12;4.60847E+12;2.113181627;3;2.113181627;2.113181627
2009;5.95E+12;8.77E+12;4.56E+12;1.56E+11;34868000000;1.2407E+12;1.60105E+12;1.71965E+12;4.56141E+12;-1.021163206;3;-1.021163206;-1.021163206
2010;6.31E+12;9.25E+12;4.93E+12;1.88E+11;38366000000;1.34103E+12;1.73052E+12;1.8587E+12;4.93025E+12;8.086096185;3;8.086096185;8.086096185
2011;6.74E+12;9.51E+12;5.25E+12;1.89E+11;40441000000;1.42924E+12;1.84435E+12;1.98097E+12;5.25456E+12;6.577962578;3;6.577962578;6.577962578
2012;7.02E+12;9.62E+12;5.54E+12;1.87E+11;41454000000;1.50569E+12;1.94301E+12;2.08694E+12;5.53564E+12;5.349258549;3;5.349258549;5.349258549
2013;7.35E+12;9.87E+12;5.84E+12;1.88E+11;42740000000;1.5884E+12;2.04973E+12;2.20157E+12;5.8397E+12;5.492770484;3;5.492770484;5.492770484
2014;7.76E+12;1.02E+13;6.19E+12;1.97E+11;44460000000;1.68334E+12;2.17225E+12;2.33315E+12;6.18874E+12;5.977019367;3;5.977019367;5.977019367
2015;8.29E+12;1.07E+13;6.65E+12;1.99E+11;46704000000;1.80956E+12;2.33513E+12;2.5081E+12;6.65279E+12;7.498295291;3;7.498295291;7.498295291
2016;8.90E+12;1.13E+13;7.14E+12;2.06E+11;49204000000;1.9433E+12;2.50772E+12;2.69348E+12;7.1445E+12;7.391034438;3;7.391034438;7.391034438
2017;9.47E+12;1.20E+13;7.72E+12;2.25E+11;51588000000;2.0989E+12;2.70851E+12;2.90914E+12;7.71654E+12;8.006718455;3;8.006718455;8.006718455
2018;1.01E+13;1.26E+13;8.28E+12;2.32E+11;54279000000;2.25183E+12;2.90585E+12;3.1211E+12;8.27878E+12;7.286167116;3;7.286167116;7.286167116
2019;1.05E+13;1.27E+13;8.69E+12;2.25E+11;56199000000;2.3625E+12;3.04867E+12;3.2745E+12;8.68567E+12;4.914854604;3;4.914854604;4.914854604
2020;;;;;;8.03251E+11;1.03655E+12;1.11333E+12;2.95313E+12;3;3;3;-66
2021;;;;;;1.19306E+12;1.53958E+12;1.65362E+12;4.38626E+12;3;3;3;48.52941176
2022;;;;;;1.58288E+12;2.04261E+12;2.19391E+12;5.8194E+12;3;3;3;32.67326733
2023;;;;;;1.97269E+12;2.54564E+12;2.73421E+12;7.25253E+12;3;3;3;24.62686567
2024;;;;;;2.3625E+12;3.04867E+12;3.2745E+12;8.68567E+12;3;3;3;19.76047904
2025;;;;;;2.43338E+12;3.14013E+12;3.37273E+12;8.94624E+12;3;3;3;3
2026;;;;;;2.50638E+12;3.23433E+12;3.47391E+12;9.21463E+12;3;3;3;3
2027;;;;;;2.58157E+12;3.33136E+12;3.57813E+12;9.49107E+12;3;3;3;3
