;rpk_init;ask_init;rtk_init;pax_init;freight_init;energy_consumption_init;total_aircraft_distance_init
2000;2039282519255.1116;2877592232514.9907;79274436754.08755;72884.13480470213;20409407.836418208;5389748053814.69;17443330079.138744
2001;1980216081707.4778;2867964900002.68;74386920666.9453;71489.22313379875;19335228.476606723;5270505840234.72;17560818446.618126
2002;2031247657643.722;2850942513960.1675;85058221244.57253;72578.99787669201;22020676.876135435;5318202725666.707;17124433081.69471
2003;2101682269628.6606;2939886579038.858;90216967620.06718;76894.50585854938;22557766.556041174;5270505840234.72;17831377372.870644
2004;2422749109379.514;3301145853623.358;101027911514.46988;86266.56864743153;24303308.01573484;5628232480974.632;20222769172.650963
2005;2627451441806.1895;3505944862192.417;103187012027.69098;93241.12700194848;24504716.64569949;5842868465418.58;21387582415.94654
2006;2796088202227.1943;3688037733181.36;110363872875.43144;98384.86378840475;26048849.4754285;5914413793566.5625;22275123111.99078
2007;3029921607529.8574;3944967337444.1694;116040910792.03516;107321.01668012959;27794390.935122166;6081352892578.522;23454034959.38388
2008;3093949410995.6206;4070244848006.384;114909665653.73367;108977.47428932735;26787347.785298895;6009807564430.54;24013950950.68562
2009;3062359810109.8643;3993599465235.4346;104610971041.54108;108454.38241273857;26854483.995287113;5675929366406.62;23409053698.691776
2010;3309982992944.1074;4234329102028.0874;126516844998.59666;118044.40015019938;32225380.794344533;5985959121714.545;25757478324.079636
2011;3527710421470.5967;4522322630652.445;126896164585.03008;125236.91345329498;32896742.894226715;6152898220726.505;27150554681.335155
2012;3716419565953.879;4712545696670.962;125572909886.16231;131078.10607520293;32493925.63429741;6224443548874.487;27830644488.5158
2013;3920550569233.554;4932624235271.238;126072403288.47466;136919.29869711088;33232423.944167804;6391382647886.446;28694016148.964283
2014;4154882125214.33;5211941751478.818;131941450765.64465;144722.0858562267;34306603.303979285;6582170189614.4;29848758960.761627
2015;4466431735837.254;5566434367458.606;133635297343.64738;155183.92338800215;34440875.72395572;6939896830354.313;31355295512.897236
2016;4796545179884.02;5974358678881.718;138418080943.20804;165558.5789403461;35716463.71373186;7297623471094.228;33033700762.60268
2017;5180593840949.0205;6358308649718.035;151168589944.17035;177240.96418416203;38267639.69328414;7774592325414.11;34634228008.721794
2018;5558060467986.776;6797176040324.715;155588166647.69473;188792.57645883074;39476091.47307206;8132318966154.023;36440863419.50473
2019;5831227635997.336;7076791641304.644;151057143835.5899;195549.17986476902;38670456.953213446;8227712737018.0;37729878651.27852
