;rpk_init;ask_init;rtk_init;pax_init;freight_init;energy_consumption_init;total_aircraft_distance_init
2000;476139331930.49054;671871028276.4182;18509292851.215405;27843.388788422788;4765265.097196378;1262777240733.9705;4072734136.689351
2001;462348278534.065;669623202569.3855;17368137262.149956;27310.50096472092;4514461.671028147;1234839691160.21;4100165761.4265013
2002;474263322302.7522;665648752025.3258;19859712548.989967;27726.819576988008;5141470.236448723;1246014710989.714;3998276869.545658
2003;490708659708.74445;686415745968.4792;21064196003.162895;29375.44128156567;5266871.949532839;1234839691160.21;4163336874.3926244
2004;565672549773.2976;770763916479.5409;23588375735.40478;32955.78134706262;5674427.517056213;1318652339881.4912;4721688001.899648
2005;613467218185.3292;818581157199.9276;24092490622.002926;35620.220465571976;5721453.159462756;1368939929114.26;4993652967.150822
2006;652841161563.7623;861096883747.542;25768171013.089413;37585.244315472635;6081983.084579587;1385702458858.5164;5200879298.022323
2007;707437462141.335;921085771492.0142;27093667120.38851;40999.05693606275;6489538.652102961;1424815028261.781;5476136058.241956
2008;722386913862.375;950336034573.1669;26829539762.205093;41631.861226708716;6254410.440070245;1408052498517.5247;5606867344.132146
2009;715011255355.1914;932440583107.4982;24424961913.817184;41432.02829282051;6270085.65420576;1329827359710.9954;5465633664.771161
2010;772827244916.1987;988647041681.0708;29539627534.094173;45095.63208077088;7524102.785046913;1402464988602.7725;6013952655.231455
2011;823663061622.6614;1055888851006.0457;29628192493.959835;47843.334921733665;7680854.926402057;1441577558006.037;6339213348.543379
2012;867723580523.3306;1100302845985.4707;29319234023.348843;50074.80268348524;7586803.641588969;1458340087750.2935;6498003267.736139
2013;915384852863.0691;1151687608690.959;29435857616.51707;52306.270445236834;7759230.997079628;1497452657153.5579;6699586521.518855
2014;970097463529.5272;1216903710093.2014;30806184836.24374;55287.111709069184;8010034.423247858;1542152736471.5747;6969200204.649702
2015;1042839235238.2299;1299671975771.5444;31201670488.882767;59283.77038683321;8041384.851518887;1625965385192.8557;7320952009.850646
2016;1119915360407.5437;1394915674123.9194;32318372743.896816;63247.123575615886;8339213.92009366;1709778033914.1372;7712832363.238506
2017;1209584482356.9055;1484561753508.5022;35295409412.51371;67710.05909911905;8934872.057243207;1821528232209.1787;8086529468.229169
2018;1297716806312.4216;1587030158055.936;36327308759.05463;72123.03638915018;9217025.911682468;1905340880930.46;8508349480.615862
2019;1361496901347.7095;1652315857408.9397;35269388557.04875;74704.21178520612;9028923.342056295;1927690920589.468;8809313592.017738
