name,categories,amount,unit
Dinitrogen monoxide,air,1.41E-10,kilogram
Dinitrogen monoxide,"air::low population density, long-term",1.41E-10,kilogram
Dinitrogen monoxide,air::lower stratosphere + upper troposphere,1.41E-10,kilogram
Dinitrogen monoxide,air::non-urban air or from high stacks,1.41E-10,kilogram
Dinitrogen monoxide,air::urban air close to ground,1.41E-10,kilogram
"1,1,1-Trichloroethane",air,1.32E-09,kilogram
"1,1,1-Trichloroethane","air::low population density, long-term",1.32E-09,kilogram
"1,1,1-Trichloroethane",air::lower stratosphere + upper troposphere,1.32E-09,kilogram
"1,1,1-Trichloroethane",air::non-urban air or from high stacks,1.32E-09,kilogram
"1,1,1-Trichloroethane",air::urban air close to ground,1.32E-09,kilogram
"1,1,2-Trichloro-1,2,2-trifluoroethane",air,4.91E-09,kilogram
"1,1,2-Trichloro-1,2,2-trifluoroethane","air::low population density, long-term",4.91E-09,kilogram
"1,1,2-Trichloro-1,2,2-trifluoroethane",air::lower stratosphere + upper troposphere,4.91E-09,kilogram
"1,1,2-Trichloro-1,2,2-trifluoroethane",air::non-urban air or from high stacks,4.91E-09,kilogram
"1,1,2-Trichloro-1,2,2-trifluoroethane",air::urban air close to ground,4.91E-09,kilogram
"1,1-Dichloro-1-fluoroethane",air,1.07E-09,kilogram
"1,1-Dichloro-1-fluoroethane","air::low population density, long-term",1.07E-09,kilogram
"1,1-Dichloro-1-fluoroethane",air::lower stratosphere + upper troposphere,1.07E-09,kilogram
"1,1-Dichloro-1-fluoroethane",air::non-urban air or from high stacks,1.07E-09,kilogram
"1,1-Dichloro-1-fluoroethane",air::urban air close to ground,1.07E-09,kilogram
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",air,3.64E-09,kilogram
"1,2-Dichloro-1,1,2,2-tetrafluoroethane","air::low population density, long-term",3.64E-09,kilogram
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",air::lower stratosphere + upper troposphere,3.64E-09,kilogram
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",air::non-urban air or from high stacks,3.64E-09,kilogram
"1,2-Dichloro-1,1,2,2-tetrafluoroethane",air::urban air close to ground,3.64E-09,kilogram
"1-Chloro-1,1-difluoroethane",air,6.76E-10,kilogram
"1-Chloro-1,1-difluoroethane","air::low population density, long-term",6.76E-10,kilogram
"1-Chloro-1,1-difluoroethane",air::lower stratosphere + upper troposphere,6.76E-10,kilogram
"1-Chloro-1,1-difluoroethane",air::non-urban air or from high stacks,6.76E-10,kilogram
"1-Chloro-1,1-difluoroethane",air::urban air close to ground,6.76E-10,kilogram
"Monochloropentafluoroethane",air,3.99E-09,kilogram
"Monochloropentafluoroethane","air::low population density, long-term",3.99E-09,kilogram
"Monochloropentafluoroethane",air::lower stratosphere + upper troposphere,3.99E-09,kilogram
"Monochloropentafluoroethane",air::non-urban air or from high stacks,3.99E-09,kilogram
"Monochloropentafluoroethane",air::urban air close to ground,3.99E-09,kilogram
"Methane, bromo-, Halon 1001",air,7.46E-09,kilogram
"Methane, bromo-, Halon 1001","air::low population density, long-term",7.46E-09,kilogram
"Methane, bromo-, Halon 1001",air::lower stratosphere + upper troposphere,7.46E-09,kilogram
"Methane, bromo-, Halon 1001",air::non-urban air or from high stacks,7.46E-09,kilogram
"Methane, bromo-, Halon 1001",air::urban air close to ground,7.46E-09,kilogram
"Methane, bromochlorodifluoro-, Halon 1211",air,5.16E-08,kilogram
"Methane, bromochlorodifluoro-, Halon 1211","air::low population density, long-term",5.16E-08,kilogram
"Methane, bromochlorodifluoro-, Halon 1211",air::lower stratosphere + upper troposphere,5.16E-08,kilogram
