year,net_zero,no_effort
2023,869.3180567929511,869.3180567929511
2024,923.3730183631043,952.61505519123
2025,970.0701892804964,1015.7331150816749
2026,1009.9627090444959,1073.294916055453
2027,1039.6763512674527,1127.4352158746995
2028,1066.4108441554722,1179.53620468578
2029,1087.9753081130768,1229.7761193901556
2030,1103.2701052732184,1278.2270895224683
2031,1105.4503382753878,1325.3051320349582
2032,1105.0133411037045,1371.2378096830341
2033,1097.9039642317516,1416.313644814337
2034,1081.5092061447924,1461.1268358653197
2035,1057.4454076753173,1505.9931075942106
2036,1026.6780790214068,1551.2224394964335
2037,986.3262946085013,1597.3643487036447
2038,945.3095774519009,1644.5666848161848
2039,896.7168262432235,1693.8496089037458
2040,845.9170711124211,1747.437983294338
2041,793.7187860272008,1801.547149626762
2042,743.7720626234426,1856.037463054043
2043,688.9416895616026,1911.5631136560692
2044,630.7756553928476,1969.3124994546279
2045,578.5204777692753,2029.2847689514792
2046,527.4434248600453,2091.423152185083
2047,481.0872898688817,2155.3484755442496
2048,432.97858049383666,2221.817464893086
2049,390.7217717933591,2285.9118703113854
2050,352.4210176905852,2351.8739273860906
