method,driver,window_end,anchor,e_1990,splice_year,rescale_klower,avoided_gt,frozen_2050_mt
freeze-all,rpk,2019,klower,457.28,2019,False,12.406284422640079,5388.581812525413
freeze-all,rpk,2019,klower,457.28,2000,False,11.37798276769288,5388.581812525413
freeze-all,rpk,2019,klower,495.43,2019,True,13.519708846532122,5838.193257391861
freeze-all,rpk,2019,endpoint,441.0,2019,False,11.317822803535371,5196.736081003377
freeze-all,rpk,2019,endpoint,441.0,2000,False,10.289521148588173,5196.736081003377
freeze-all,rpk,2019,endpoint,441.0,2019,True,9.880318429769334,5196.736081003377
freeze-all,rpk,2023,klower,457.28,2019,False,14.901843765402367,5388.581812525413
freeze-all,rpk,2023,klower,457.28,2000,False,13.873542110455167,5388.581812525413
freeze-all,rpk,2023,klower,495.43,2019,True,16.43315921098022,5838.193257391861
freeze-all,rpk,2023,endpoint,441.0,2019,False,13.635071274394436,5196.736081003377
freeze-all,rpk,2023,endpoint,441.0,2000,False,12.606769619447237,5196.736081003377
freeze-all,rpk,2023,endpoint,441.0,2019,True,12.197566900628393,5196.736081003377
freeze-all,rpk,2024,klower,457.28,2019,False,16.17467952211344,5388.581812525413
freeze-all,rpk,2024,klower,457.28,2000,False,15.14637786716624,5388.581812525413
freeze-all,rpk,2024,klower,495.43,2019,True,17.889241809799962,5838.193257391861
freeze-all,rpk,2024,endpoint,441.0,2019,False,14.829717018651795,5196.736081003377
freeze-all,rpk,2024,endpoint,441.0,2000,False,13.801415363704596,5196.736081003377
freeze-all,rpk,2024,endpoint,441.0,2019,True,13.392212644885753,5196.736081003377
fuel-side,ask,2019,klower,457.28,2019,False,9.121335931266767,4123.096406840667
fuel-side,ask,2019,klower,457.28,2000,False,8.093034276319566,4123.096406840667
fuel-side,ask,2019,klower,495.43,2019,True,9.960671459619519,4467.118525702123
fuel-side,ask,2019,endpoint,441.0,2019,False,8.149825927311497,3976.3048253400216
fuel-side,ask,2019,endpoint,441.0,2000,False,7.121524272364296,3976.3048253400216
fuel-side,ask,2019,endpoint,441.0,2019,True,6.712321553545455,3976.3048253400216
fuel-side,ask,2023,klower,457.28,2019,False,11.095427650001543,4123.096406840667
fuel-side,ask,2023,klower,457.28,2000,False,10.067125995054342,4123.096406840667
fuel-side,ask,2023,klower,495.43,2019,True,12.309144085496593,4467.118525702123
fuel-side,ask,2023,endpoint,441.0,2019,False,9.964172204023704,3976.3048253400216
fuel-side,ask,2023,endpoint,441.0,2000,False,8.935870549076505,3976.3048253400216
fuel-side,ask,2023,endpoint,441.0,2019,True,8.526667830257662,3976.3048253400216
fuel-side,ask,2024,klower,457.28,2019,False,11.957054217946032,4123.096406840667
fuel-side,ask,2024,klower,457.28,2000,False,10.928752562998831,4123.096406840667
fuel-side,ask,2024,klower,495.43,2019,True,13.319707102957404,4467.118525702123
fuel-side,ask,2024,endpoint,441.0,2019,False,10.762248739080926,3976.3048253400216
fuel-side,ask,2024,endpoint,441.0,2000,False,9.733947084133726,3976.3048253400216
fuel-side,ask,2024,endpoint,441.0,2019,True,9.324744365314883,3976.3048253400216
fuel-side-and-gauge,total_aircraft_distance,2019,klower,457.28,2019,False,12.330662217822406,
fuel-side-and-gauge,total_aircraft_distance,2019,klower,457.28,2000,False,11.302360562875206,
fuel-side-and-gauge,total_aircraft_distance,2019,klower,495.43,2019,True,13.437776890845862,
fuel-side-and-gauge,total_aircraft_distance,2019,endpoint,441.0,2019,False,11.244892920687992,
fuel-side-and-gauge,total_aircraft_distance,2019,endpoint,441.0,2000,False,10.21659126574079,
fuel-side-and-gauge,total_aircraft_distance,2019,endpoint,441.0,2019,True,9.807388546921947,
fuel-side-and-gauge,total_aircraft_distance,2023,klower,457.28,2019,False,14.857786467745244,
fuel-side-and-gauge,total_aircraft_distance,2023,klower,457.28,2000,False,13.829484812798043,
fuel-side-and-gauge,total_aircraft_distance,2023,klower,495.43,2019,True,16.38542586906031,
fuel-side-and-gauge,total_aircraft_distance,2023,endpoint,441.0,2019,False,13.592582516436995,
fuel-side-and-gauge,total_aircraft_distance,2023,endpoint,441.0,2000,False,12.564280861489795,
fuel-side-and-gauge,total_aircraft_distance,2023,endpoint,441.0,2019,True,12.15507814267095,
fuel-side-and-gauge,total_aircraft_distance,2024,klower,457.28,2019,False,15.803022486880435,
fuel-side-and-gauge,total_aircraft_distance,2024,klower,457.28,2000,False,14.774720831933234,
fuel-side-and-gauge,total_aircraft_distance,2024,klower,495.43,2019,True,17.48657452689521,
fuel-side-and-gauge,total_aircraft_distance,2024,endpoint,441.0,2019,False,14.471291816632098,
fuel-side-and-gauge,total_aircraft_distance,2024,endpoint,441.0,2000,False,13.442990161684898,
fuel-side-and-gauge,total_aircraft_distance,2024,endpoint,441.0,2019,True,13.033787442866055,
