year,observed,freeze-all|klower|splice2019,freeze-all|klower|splice2000,freeze-all|klower|splice2019|rescaled,freeze-all|endpoint|splice2019,freeze-all|endpoint|splice2000,freeze-all|endpoint|splice2019|rescaled,fuel-side|klower|splice2019,fuel-side|klower|splice2000,fuel-side|klower|splice2019|rescaled,fuel-side|endpoint|splice2019,fuel-side|endpoint|splice2000,fuel-side|endpoint|splice2019|rescaled,fuel-side-and-gauge|klower|splice2019,fuel-side-and-gauge|klower|splice2000,fuel-side-and-gauge|klower|splice2019|rescaled,fuel-side-and-gauge|endpoint|splice2019,fuel-side-and-gauge|endpoint|splice2000,fuel-side-and-gauge|endpoint|splice2019|rescaled,R0,R0_traffic_ratio,R1,R1_traffic_ratio,R2,R2_traffic_ratio
1990,457.28021248,457.28021248,457.28021248,495.4346702195242,441.0,441.0,441.0,457.28021248,457.28021248,495.4346702195242,441.0,441.0,441.0,457.28021248,457.28021248,495.4346702195242,441.0,441.0,441.0,457.28021248,1.0,457.28021248,1.0,457.28021248,1.0
1991,442.22587136,445.49313058997996,445.49313058997996,482.66410007531965,429.6325649533191,429.6325649533191,429.6325649533191,453.7945015527052,453.7945015527052,491.6581192194732,437.6383882858167,437.6383882858167,437.6383882858167,453.8118704606332,453.8118704606332,491.67693735097447,437.6551388212372,437.6551388212372,437.6551388212372,445.49313058997996,1.0,444.9015093450607,0.9986719857068598,448.1590981411191,0.9970554519623033
1992,443.25122816,465.6514136330552,465.6514136330552,504.50434603189404,449.0731674097068,449.0731674097068,449.0731674097068,478.3970900934535,478.3970900934535,518.3134937744468,461.36506888637854,461.36506888637854,461.36506888637854,499.25033287949344,499.25033287949344,540.9066853903232,481.47588894301026,481.47588894301026,481.47588894301026,465.6514136330552,1.0,461.45589505265815,0.9909900014097172,466.5042137152229,0.9884934208781732
1993,445.67001855999996,470.5999747091712,470.5999747091712,509.86580418795614,453.8455484902956,453.8455484902956,453.8455484902956,491.9849953690992,491.9849953690992,533.0351440568938,474.46921392266046,474.46921392266046,474.46921392266046,544.6887952983536,544.6887952983536,590.136433429672,525.2966390647833,525.2966390647833,525.2966390647833,470.5999747091712,1.0,465.91138841146125,0.9900370026568585,474.1708813582902,0.9859755231120614
1994,466.92908288,506.93504814551505,506.93504814551505,549.2325964392709,488.88701091991794,488.88701091991794,488.88701091991794,517.4430932896613,517.4430932896613,560.6174098175004,499.02094582918573,499.02094582918573,499.02094582918573,580.6768212057282,580.6768212057282,629.1272212675595,560.0034096444228,560.0034096444228,560.0034096444228,506.93504814551505,1.0,499.2421908726571,0.9848247673917986,503.150752959812,0.9829913452887618
1995,478.29739775999997,542.7303400039189,542.7303400039189,588.0145689219651,523.4079092197683,523.4079092197683,523.4079092197683,548.3424920900773,548.3424920900773,594.0949866661493,528.8202559657018,528.8202559657018,528.8202559657018,619.528615752947,619.528615752947,671.2207243180111,597.471992206527,597.471992206527,597.471992206527,542.7303400039189,1.0,529.8983134862312,0.976356533674541,532.1053905224742,0.9753469964252236
1996,499.94557183999996,587.023329234895,587.023329234895,636.0032680035929,566.1239675965886,566.1239675965886,566.1239675965886,581.8400924688057,581.8400924688057,630.3875533328221,561.1252658127336,561.1252658127336,561.1252658127336,655.5166416603215,655.5166416603215,710.2115121558986,632.1787627861665,632.1787627861665,632.1787627861665,587.023329234895,1.0,569.2085340753521,0.9696523216841109,567.2054774981472,0.9705281429145936
1997,515.16817664,621.1374766797139,621.1374766797139,672.9638250709586,599.0235740360935,599.0235740360935,599.0235740360935,608.636148283943,608.636148283943,659.4194132594905,586.9673212788717,586.9673212788717,586.9673212788717,688.259063109206,688.259063109206,745.6858894195469,663.7554797856794,663.7554797856794,663.7554797856794,621.1374766797139,1.0,599.0038727061934,0.9643660142810324,594.1341909998231,0.9664309281970684
1998,525.3270963199999,634.4403405589497,634.4403405589497,687.3766507282085,611.8528257960296,611.8528257960296,611.8528257960296,626.5667432530365,626.5667432530365,678.8460977363336,604.259546408154,604.259546408154,604.259546408154,713.9693415646956,713.9693415646956,773.541377105677,688.5504140282513,688.5504140282513,688.5504140282513,634.4403405589497,1.0,611.6204957517788,0.9640315355939277,608.415779914709,0.9653640315792815
1999,542.2717747199999,675.4036306376321,675.4036306376321,731.7578278650309,651.3577298607096,651.3577298607096,651.3577298607096,661.3516893302061,661.3516893302061,716.5334234023226,637.8060695276138,637.8060695276138,637.8060695276138,755.4621671908816,755.4621671908816,818.496273074382,728.5660009741841,728.5660009741841,728.5660009741841,675.4036306376321,1.0,646.8858095333405,0.9577766245091567,641.2915345049329,0.9600280868549298
