year,observed,report_method,wctr
1990,457.28021248,457.28021248,457.28021248
1991,442.22587136,445.49313058997996,444.9374781926856
1992,443.25122816,465.6514136330552,461.4136525271634
1993,445.67001855999996,470.5999747091712,464.0462607660276
1994,466.92908288,506.93504814551505,496.247925770971
1995,478.29739775999997,542.7303400039189,525.109842383518
1996,499.94557183999996,587.023329234895,560.5665724036432
1997,515.16817664,621.1374766797139,587.2690768246384
1998,525.3270963199999,634.4403405589497,597.3394136686857
1999,542.2717747199999,675.4036306376321,630.4717616121012
2000,570.35603456,772.8257562808652,704.2751695626795
2001,548.62635776,750.4139575713896,678.1017259304648
2002,549.7358463999999,754.1658740670721,678.7024479447531
2003,549.39143168,767.7408013802697,686.9940809966753
2004,583.9512140799999,875.9923552821773,770.0007339040543
2005,612.6506880000001,946.0717437047514,820.2225290936245
2006,619.7940070399999,1006.7930673380364,859.8817585434575
2007,637.79296256,1089.4839357224846,915.8999238632964
2008,634.84308992,1112.5067304846289,923.5044385042778
2009,602.02641408,1101.1479010629746,905.4592637842728
2010,632.42429952,1190.1869967081977,966.765929519119
2011,651.1804416,1270.641247776181,1017.7161777384321
2012,658.22911232,1338.611963531802,1058.2172188270213
2013,676.93793024,1409.2685513071735,1103.3841416986445
2014,698.2338022399999,1494.3650205074418,1159.2563824497634
2015,736.36655872,1606.4184617398414,1238.7189341144967
2016,771.9806182399999,1725.6312510299206,1320.8678797082157
2017,817.5274747328,1863.2772432396578,1413.4255863500493
2018,860.03890336,1999.038828026586,1503.171654434786
2019,938.07918,2091.5406369785956,1579.802122478495
2020,510.8018659772679,712.302626151824,581.5596377104805
2021,471.2992086167495,874.3652855883862,709.484519613909
2022,661.4348676034332,1435.8049958309093,1120.6999833567272
2023,869.3180567929511,1985.94043418157,1520.3531307724047
