run,case,case_label,biomass_share_world_pct,efficiency_gain_pct_per_yr,carbon_budget_share_world_pct,objective_kind,constraint,constraint_name,component,year,g_value,g_bound,slack,active,ineq_tolerance,lambda_raw,objective_scale,f_opt_scaled,kkt_residual,kkt_residual_relative,objective_grad_norm,max_constraint_violation,run_feasible,termination_message,x_eval_distance_from_x_opt,n_database_entries,min_residual_kerosene_fraction,blend_degenerate,n_gradient_points,lambda_eur_discounted2020_per_unit_g,f_opt_eur_discounted2020,budget_adjusted_gtco2,shadow_price_eur_per_tco2_discounted2020,undiscount_factor_to_year,shadow_price_eur_per_tco2_undiscounted_year,allocated_resource_mj,allocated_resource_ej,shadow_price_eur_per_gj_discounted2020,shadow_price_eur_per_ej_discounted2020,shadow_price_eur_per_gj_undiscounted_year,shadow_price_eur_per_ej_undiscounted_year,ramp_branch_active,ramp_rate_cap_mj,ramp_volume_cap_mj,ramp_previous_consumption_mj,shadow_price_eur_per_gj_of_cap_discounted2020,d_obj_d_volume_bound_eur_per_ej_per_yr_discounted2020,d_obj_d_rate_bound_eur_per_unit_tau_discounted2020,shadow_price_eur_per_gj_of_cap_undiscounted_year,d_obj_d_volume_bound_eur_per_ej_per_yr_undiscounted_year,d_obj_d_rate_bound_eur_per_unit_tau_undiscounted_year,lambda_gtco2_per_unit_g
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G1,aviation_carbon_budget_constraint,0,,0.07289146896057244,0.0,0.07289146896057244,False,0.0001,408.3067269674606,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,4083067269674.6055,269699642622.76898,1.7478766537399295,2336.015679903998,,,,,,,,,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G2,blend_completeness_constraint,0,2030.0,-0.8241245141426952,0.0,0.8241245141426952,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,1.552969421732896,,,,,,,,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G2,blend_completeness_constraint,1,2035.0,-0.5387101505370251,0.0,0.5387101505370251,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,1.9352824430911528,,,,,,,,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G2,blend_completeness_constraint,2,2040.0,1.451219588943786e-10,0.0,1.451219588943786e-10,True,0.0001,49.93427431078919,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,499342743107.8919,269699642622.76898,,,2.411714024837406,,,,,,,,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G2,blend_completeness_constraint,3,2045.0,1.8974333215737717e-12,0.0,1.8974333215737717e-12,True,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,3.005434456537094,,,,,,,,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G2,blend_completeness_constraint,4,2050.0,2.509636942704674e-13,0.0,2.509636942704674e-13,True,0.0001,0.09736947295568886,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,973694729.5568886,269699642622.76898,,,3.7453181345368614,,,,,,,,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G3,biomass_trajectory_constraint,0,2030.0,-0.8054193884310898,0.0,0.8054193884310898,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,1.552969421732896,,1675243500000.0,1.6752435,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G3,biomass_trajectory_constraint,1,2035.0,-0.5890306601525986,0.0,0.5890306601525986,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,1.9352824430911528,,1973813250000.0,1.97381325,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G3,biomass_trajectory_constraint,2,2040.0,-0.25398518857181146,0.0,0.25398518857181146,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,2.411714024837406,,2272383000000.0,2.272383,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G3,biomass_trajectory_constraint,3,2045.0,-0.3100225060554543,0.0,0.3100225060554543,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,3.005434456537094,,2318853000000.0,2.318853,0.0,0.0,0.0,0.0,,,,,,,,,,,
