run,case,carbon_budget_share_world_pct,objective_kind,run_feasible,n_database_entries,n_gradient_points,kkt_residual,kkt_residual_relative,objective_grad_norm,max_constraint_violation,termination_message
opt_B15_2_0,B15,2.0,min_surplus_loss,False,50,15,0.0007799767181964,0.0015296038837099,0.5099207229420905,0.0727914689605732,Maximum number of iterations reached. GEMSEO stopped the driver.
opt_B15_2_6,B15,2.6,min_surplus_loss,True,19,18,2.2108654277046664e-15,3.607192423553876e-15,0.6129047658418175,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B15_2_8,B15,2.8,min_surplus_loss,True,21,20,0.0499211154692013,0.0802111470593697,0.6223712950053103,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B15_3_0,B15,3.0,min_surplus_loss,True,28,26,6.862141585559709e-16,1.0917893742553426e-15,0.6285224739652782,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B15_3_2,B15,3.2,min_surplus_loss,True,23,22,0.0202147243653675,0.0316384545035106,0.6389289452531388,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B15_3_4,B15,3.4,min_surplus_loss,True,36,33,4.733220898931775e-16,7.322873728136268e-16,0.6463611246969321,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B15_3_6,B15,3.6,min_surplus_loss,True,30,29,0.0092724613306397,0.0142366263413036,0.6513102970005115,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B15_3_8,B15,3.8,min_surplus_loss,True,25,24,0.0076969251261819,0.0117257905374211,0.6564099112651164,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B15_mincarb,B15,,min_co2,True,13,12,0.0036645251062658,0.0663137353877674,0.0552604235734516,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B5_2_0,B5,2.0,min_surplus_loss,False,50,8,3.491063653003977e-16,6.178959818415513e-16,0.5649921274126687,0.337782617137121,Maximum number of iterations reached. GEMSEO stopped the driver.
opt_B5_2_2,B5,2.2,min_surplus_loss,False,6,6,5.38781765530132e-16,9.536092690438872e-16,0.5649921650513404,0.1717840301229642,Positive directional derivative for linesearch
opt_B5_2_4,B5,2.4,min_surplus_loss,False,32,7,1.6154364966301538e-16,2.8592188888581367e-16,0.564992244184319,0.0424321324588267,Positive directional derivative for linesearch
opt_B5_2_6,B5,2.6,min_surplus_loss,True,16,12,1.1274368112207335e-16,1.9362026302211235e-16,0.5822927794969346,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B5_2_8,B5,2.8,min_surplus_loss,True,15,14,1.6609920666080003e-16,2.7336336916341326e-16,0.6076132554596515,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B5_3_0,B5,3.0,min_surplus_loss,True,17,16,0.0283362414001225,0.0458266171500102,0.6183358747028141,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B5_3_2,B5,3.2,min_surplus_loss,True,22,21,0.0230673331569818,0.0366026639700649,0.6302091338446631,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B5_3_4,B5,3.4,min_surplus_loss,True,21,20,0.0580368858443355,0.091192965310019,0.6364184523119047,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B5_3_6,B5,3.6,min_surplus_loss,True,29,26,2.4127004076160016e-16,3.7428734263511383e-16,0.6446118083047497,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B5_3_8,B5,3.8,min_surplus_loss,True,38,36,1.3808224523606804e-16,2.1085318581928846e-16,0.6548738862993102,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B5_mincarb,B5,,min_co2,True,13,12,2.3013707539344673e-17,2.920714885879246e-16,0.0787947760687249,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_2_0,B75,2.0,min_surplus_loss,False,7,7,6.057539126199502e-16,1.080881994804443e-15,0.5604255742362932,0.2099090300312275,Positive directional derivative for linesearch
opt_B75_2_2,B75,2.2,min_surplus_loss,False,31,8,5.103743968679989e-16,9.106906747780793e-16,0.5604256318890813,0.059776855348109,Positive directional derivative for linesearch
opt_B75_2_4,B75,2.4,min_surplus_loss,True,15,12,4.491560549236345e-16,7.803210506408019e-16,0.5756041754285448,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_2_6,B75,2.6,min_surplus_loss,True,15,14,3.5990391192955104e-16,5.986593606729836e-16,0.6011831361410012,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_2_8,B75,2.8,min_surplus_loss,True,19,18,1.5608655866697342e-16,2.549022549818887e-16,0.6123388695720392,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_3_0,B75,3.0,min_surplus_loss,True,21,20,0.0224579842712276,0.0359592943078832,0.6245390712882882,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_3_2,B75,3.2,min_surplus_loss,True,20,19,0.0520490229385454,0.0825420875968937,0.6305755579230607,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_3_4,B75,3.4,min_surplus_loss,True,20,19,0.0096235872746164,0.0150322698887669,0.6401952164129145,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_3_6,B75,3.6,min_surplus_loss,True,25,24,0.0132558543366838,0.0204125384020104,0.6493976435276779,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_3_8,B75,3.8,min_surplus_loss,True,39,38,1.6478959984131287e-16,2.511822749208595e-16,0.6560558458722195,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_B75_mincarb,B75,,min_co2,True,13,12,4.869600850199926e-17,6.353976736029292e-16,0.076638632033189,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_2_0,main,2.0,min_surplus_loss,False,40,9,4.540073262603192e-16,8.143009455615834e-16,0.5575424279376375,0.1037582733177054,Positive directional derivative for linesearch
opt_main_2_2,main,2.2,min_surplus_loss,True,11,10,1.7197401463156136e-16,3.0303978265915055e-16,0.5674964954188614,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_2_4,main,2.4,min_surplus_loss,True,12,11,3.428263042070008e-16,5.823214806919114e-16,0.5887234381250308,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_2_6,main,2.6,min_surplus_loss,True,22,18,5.140872850193228e-16,8.475505448026934e-16,0.6065564917299421,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_2_8,main,2.8,min_surplus_loss,True,20,19,1.2123222710197603e-16,1.9559576100144912e-16,0.6198100944584266,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_3_0,main,3.0,min_surplus_loss,True,21,20,0.0497168690327055,0.0794614869080434,0.6256725234734188,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_3_2,main,3.2,min_surplus_loss,True,21,19,0.009766162438935,0.0154358186649152,0.632694815282652,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_3_4,main,3.4,min_surplus_loss,True,24,23,0.028925637855151,0.0450451987606685,0.6421469690662716,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_3_6,main,3.6,min_surplus_loss,True,33,31,7.343435057440257e-17,1.1285696008317802e-16,0.6506851728088359,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_3_8,main,3.8,min_surplus_loss,True,26,24,0.0076969329607114,0.011725801762112,0.6564099510518363,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_main_mincarb,main,,min_co2,True,13,12,2.1736022853376228e-17,2.897291134577169e-16,0.0750218802452118,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_2_0,pess,2.0,min_surplus_loss,False,35,7,1.8463195827281382e-16,3.1126243289848496e-16,0.5931713523971255,0.2829210977980428,Positive directional derivative for linesearch
opt_pess_2_2,pess,2.2,min_surplus_loss,False,37,9,3.735419982690771e-16,6.297370462839572e-16,0.5931713887142696,0.122778405750165,Positive directional derivative for linesearch
opt_pess_2_4,pess,2.4,min_surplus_loss,True,8,7,1.0315407380583415e-16,1.7372723259115822e-16,0.5937703160712418,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_2_6,pess,2.6,min_surplus_loss,True,17,14,2.6221307941181033e-16,4.23049202688741e-16,0.6198169804960816,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_2_8,pess,2.8,min_surplus_loss,True,15,14,2.1588771306901904e-16,3.363638580940272e-16,0.6418279130591663,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_3_0,pess,3.0,min_surplus_loss,True,18,17,0.0741717084550328,0.1135555968271426,0.653175277374826,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_3_2,pess,3.2,min_surplus_loss,True,20,19,0.0531993202820132,0.0801125332306397,0.6640573969725213,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_3_4,pess,3.4,min_surplus_loss,True,22,20,0.0194766993623035,0.0289863102013875,0.6719275142984994,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_3_6,pess,3.6,min_surplus_loss,True,29,27,2.6046282324170643e-16,3.83035475810651e-16,0.6799966052503791,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_3_8,pess,3.8,min_surplus_loss,True,32,31,6.18924442835005e-16,8.965344327194254e-16,0.6903521161564802,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
opt_pess_mincarb,pess,,min_co2,True,7,6,9.627324580257783e-17,1.1534197798785053e-15,0.0834676563399309,0.0,Successive iterates of the objective function are closer than ftol_rel or ftol_abs. GEMSEO stopped the driver.
