year,extra_co2_mtco2,discount_to_2020,pct_of_extra_co2
2026,0.0,1.3022601248475152,
2027,0.0,1.3608618304656532,
2028,0.0,1.4221006128366074,
2029,0.0,1.4860951404142546,
2030,0.0,1.552969421732896,
2031,0.0,1.6228530457108763,
2032,0.0,1.6958814327678655,
2033,0.0,1.7721960972424193,
2034,0.0,1.8519449216183281,
2035,0.0,1.9352824430911528,
2036,0.0,2.0223701530302547,
2037,0.0,2.1133768099166157,
2038,0.0,2.2084787663628633,
2039,0.0,2.307860310849192,
2040,0.0,2.411714024837406,
2041,0.0,2.520241155955089,
2042,0.0,2.6336520079730676,
2043,0.0,2.7521663483318553,
2044,0.0,2.8760138340067884,
2045,0.0,3.005434456537094,
2046,0.0,3.140679007081263,
2047,0.0,3.2820095623999195,
2048,0.0,3.4296999927079157,
2049,0.0,3.584036492379772,
2050,0.0,3.7453181345368614,
