year,mfsp,emission_factor
2020,0.122091,8.781760
2021,0.117567,8.688402
2022,0.112182,8.582665
2023,0.106979,8.478541
2024,0.101905,8.375354
2025,0.097384,8.279545
2026,0.092857,8.183052
2027,0.088348,8.086179
2028,0.083868,7.989030
2029,0.079422,7.891654
2030,0.075032,7.794393
2031,0.072639,7.703394
2032,0.070666,7.618300
2033,0.068928,7.536536
2034,0.067337,7.456884
2035,0.065878,7.379596
2036,0.064466,7.302771
2037,0.063113,7.226976
2038,0.061808,7.152116
2039,0.060544,7.078149
2040,0.059319,7.005072
2041,0.058327,6.934694
2042,0.057361,6.865034
2043,0.056424,6.796186
2044,0.055516,6.728216
2045,0.054255,6.651471
2046,0.053296,6.582522
2047,0.052125,6.507724
2048,0.050919,6.431732
2049,0.049683,6.354603
2050,0.048690,6.284438
