run,year,biofuel_mandate_share,electrofuel_mandate_share
base,2030,8.356955444094467,1.0000000399833023e-06
base,2035,20.65024153324419,1.0000030439375597e-06
base,2040,38.93374494086058,1.0000145076877187e-06
base,2045,39.658196728242125,7.818889064681336
base,2050,39.97448124633608,19.225755637970465
efuel_wind,2030,8.356955313705305,1e-06
efuel_wind,2035,20.650240814416755,1e-06
efuel_wind,2040,38.967945902209806,0.2873387621814072
efuel_wind,2045,39.26807341036054,8.279956575291823
efuel_wind,2050,39.05977264444141,20.09125928174968
eps_m0_6,2030,8.42484926150625,1e-06
eps_m0_6,2035,20.79494822861638,1e-06
eps_m0_6,2040,39.068818667109966,1.0000000000483808e-06
eps_m0_6,2045,39.547881181730006,7.2739403192707
eps_m0_6,2050,39.51551323783027,17.729635867769932
eps_m0_8,2030,8.379163963118275,1e-06
eps_m0_8,2035,20.697811355258345,1e-06
eps_m0_8,2040,38.97845422526548,1e-06
eps_m0_8,2045,39.61740096503027,7.651200470355613
eps_m0_8,2050,39.81133245936321,18.755924905068664
eps_m1_0,2030,8.33515266994877,1.000000000465843e-06
eps_m1_0,2035,20.603300771637453,1.0000000000489362e-06
eps_m1_0,2040,38.88934839059347,1.00000000058231e-06
eps_m1_0,2045,39.70233218428416,7.974356591972603
eps_m1_0,2050,40.146753190566734,19.6706652652159
eps_m1_4,2030,8.251874212678967,1.000000000830835e-06
eps_m1_4,2035,20.421977743999943,1e-06
eps_m1_4,2040,38.76683901268482,0.195624368190409
eps_m1_4,2045,39.88478612529049,8.409994900470815
eps_m1_4,2050,40.87230257688475,21.02357420029797
fixed_demand,2030,8.572891105116783,1.0000000004906453e-06
fixed_demand,2035,21.10360771935684,1e-06
fixed_demand,2040,39.34750058809329,1e-06
fixed_demand,2045,39.490883404010496,5.667729719902584
fixed_demand,2050,38.96245758570413,13.6410439275982
r_15,2030,2.0000000000000044,1.0000000000042093e-06
r_15,2035,6.194939303630617,1.0000000005761518e-06
r_15,2040,15.883338984572536,7.234950988606285
r_15,2045,41.312353851546824,18.818011479535667
r_15,2050,43.600841571173014,48.44625696925073
r_3_2,2030,8.35695544409908,1e-06
r_3_2,2035,20.650241533261493,1e-06
r_3_2,2040,38.9337442847114,1e-06
r_3_2,2045,39.658198581966566,7.818902422440697
r_3_2,2050,39.97448641834498,19.22581223173703
r_7,2030,7.837048461478148,1.0000000000051442e-06
r_7,2035,19.34074165490176,1.0000000000362536e-06
r_7,2040,38.9337442847106,1e-06
r_7,2045,39.74325635956498,8.380152326334382
r_7,2050,40.15458509108897,20.65440028506098
rate_11_8,2030,8.35695544410128,1.0000000379625866e-06
rate_11_8,2035,14.334924220922804,1.000000059848244e-06
rate_11_8,2040,25.856190781883072,7.581005630243228
rate_11_8,2045,40.49229138264129,13.33982545562668
rate_11_8,2050,40.42511143578371,22.804512337701976
rate_39,2030,6.477770280264598,1.000000000960454e-06
rate_39,2035,34.29868361244849,1e-06
rate_39,2040,38.93374428468704,1.000000000174574e-06
rate_39,2045,38.86967122494098,2.6342208359898103
rate_39,2050,39.25399161685457,13.532603360093432
vol_0_1,2030,4.811276193990386,1e-06
vol_0_1,2035,11.898697058504494,1.856439486118351
vol_0_1,2040,30.265182352044793,4.721985922379888
vol_0_1,2045,40.26499648731521,11.831509185170257
vol_0_1,2050,41.274057594313646,29.585412105709075
vol_0_4,2030,12.0942463966528,1.0000000000828345e-06
vol_0_4,2035,30.162048114570045,1e-06
vol_0_4,2040,38.93374428468704,1.0000000007178297e-06
vol_0_4,2045,38.46714265683904,1e-06
vol_0_4,2050,39.55626023885521,15.916834897197528
