run,block,label,objective_name,f_opt,feasible,message,n_evaluations,max_constraint_violation,seconds,budget_world_share,biomass_share,elasticity,rate_cap,volume_cap,discount_rate,efuel_pathway,dropped_constraints,ftol_abs,kkt_tol_rel
base,baseline,"baseline (eps -0.9, 20 %/yr, 0.2 EJ/yr, r 4.5 %)",surplus,-4.7146126209271335,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,8,3.3951093305534823e-09,245.6,3.122636344,10.0,-0.9,0.2,0.2,0.045,grid electricity,none,0.0,1e-06
eps_m0_6,A,eps_P = -0.6,surplus,-4.819132759610828,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,10,2.3559282905273828e-07,313.8,3.122636344,10.0,-0.6,0.2,0.2,0.045,grid electricity,none,0.0,1e-06
eps_m0_8,A,eps_P = -0.8,surplus,-4.743573952279422,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,9,5.5578966057313675e-09,481.5,3.122636344,10.0,-0.8,0.2,0.2,0.045,grid electricity,none,0.0,1e-06
eps_m1_0,A,eps_P = -1.0,surplus,-4.689944674004059,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,8,6.125175421895175e-09,443.5,3.122636344,10.0,-1.0,0.2,0.2,0.045,grid electricity,none,0.0,1e-06
eps_m1_4,A,eps_P = -1.4,surplus,-4.617581691641065,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,10,1.642281386002303e-05,608.4,3.122636344,10.0,-1.4,0.2,0.2,0.045,grid electricity,none,0.0,1e-06
fixed_demand,A',fixed demand (no cost feedback),cost,-5.193492559449256,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,10,7.880588282763073e-16,71.6,3.122636344,10.0,n/a,0.2,0.2,0.045,grid electricity,none,0.0,1e-06
rate_11_8,B,ramp rate 11.8 %/yr (IEA NZE),surplus,-4.097306739222577,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,13,3.054266749437483e-07,700.1,3.122636344,10.0,-0.9,0.118,0.2,0.045,grid electricity,none,0.0,1e-06
rate_39,B,ramp rate 39 %/yr (wind/PV emergence),surplus,-4.938567432669189,True,Successive iterates of the design variables are closer than xtol_rel or xtol_abs. GEMSEO stopped the driver.,4,4.421463998482977e-08,170.9,3.122636344,10.0,-0.9,0.39,0.2,0.045,grid electricity,none,0.0,1e-06
vol_0_1,B',ramp volume 0.1 EJ/yr,surplus,-4.197946216588632,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,12,3.365833614440694e-06,714.3,3.122636344,10.0,-0.9,0.2,0.1,0.045,grid electricity,none,0.0,1e-06
vol_0_4,B',ramp volume 0.4 EJ/yr,surplus,-4.919427388999496,True,Successive iterates of the design variables are closer than xtol_rel or xtol_abs. GEMSEO stopped the driver.,5,5.668779723035635e-16,168.1,3.122636344,10.0,-0.9,0.2,0.4,0.045,grid electricity,none,0.0,1e-06
efuel_wind,C,"dedicated-wind electrofuel, no electricity limit",surplus,-5.990667849613632,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,24,2.7509081460992577e-07,1559.4,3.122636344,10.0,-0.9,0.2,0.2,0.045,dedicated wind,electricity_trajectory_constraint,0.0,1e-06
r_3_2,D,discount rate 3.2 %,surplus,-5.540261542855212,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,7,2.0133288023714096e-05,483.4,3.122636344,10.0,-0.9,0.2,0.2,0.032,grid electricity,none,0.0,1e-06
r_7,D,discount rate 7 %,surplus,-3.6817470950904605,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,8,7.869908036686975e-08,524.1,3.122636344,10.0,-0.9,0.2,0.2,0.07,grid electricity,none,0.0,1e-06
r_15,D,discount rate 15 % (extreme),surplus,-2.1613914848971683,True,Successive iterates of the design variables are closer than xtol_rel or xtol_abs. GEMSEO stopped the driver.,5,5.173606207633957e-12,247.5,3.122636344,10.0,-0.9,0.2,0.2,0.15,grid electricity,none,0.0,1e-06
