run,block,year,rpk,rpk_no_elasticity,ask,airfare_per_rpk,total_cost_per_rpk,co2_emissions,cumulative_co2_emissions,biofuel_mandate_share,electrofuel_mandate_share,biofuel_energy,electrofuel_energy,dropin_energy,biomass_allocated_share,electricity_allocated_share,area_loss,total_airline_cost,cumulative_total_airline_cost_discounted,cumulative_total_surplus_loss_discounted
base,baseline,2019,1361496901347.7095,1361496901347.7095,1652315857408.9397,0.09236379319842411,0.08824028498633725,,,,,,,1927690920589.4683,,,-0.0,120138874582.93698,2414901591623.6533,-18244501978.250427
base,baseline,2020,462908946458.2212,462908946458.2212,709983046715.0631,0.121768405058906,0.11711115249230034,,0.0928776882208452,0.0,0.0,0.0,0.0,1047099078025.3121,0.0,0.0,-0.0,54211800218.718834,2469113391842.372,-18244501978.250427
base,baseline,2021,687555935180.5933,687555935180.5933,826157688416.4329,0.09175645441581162,0.08709920184920594,,0.17594778708092298,0.4,0.0,3757616230.993715,0.0,939404057748.4287,0.8010065972694458,0.0,-0.0,59885573180.91405,2526420160436.5483,-18244501978.250427
base,baseline,2022,912202923902.9652,912202923902.9652,1090959425893.8142,0.09127505337409517,0.08661780080748947,,0.2839073018599997,0.8,0.0,9797020875.459648,0.0,1224627609432.456,2.058381744783099,0.0,-0.0,79013011158.63652,2598774741291.9653,-18244501978.250427
base,baseline,2023,1136849912625.3374,1136849912625.3374,1353514774009.468,0.09081165341299384,0.08615440084638816,,0.41572408548074746,1.2000000000000002,0.0,17998429696.420647,0.0,1499869141368.387,3.727902742638801,0.0,-0.0,97944623074.50467,2684603281877.592,-18244501978.250427
base,baseline,2024,1361496901347.7095,1361496901347.7095,1613982106501.2495,0.09036581500357434,0.08570856243696866,,0.5704085313085648,1.6,0.0,28248342439.512722,0.0,1765521402469.5452,5.76910332372609,0.0,-0.0,116691942176.89952,2782456633695.9546,-18244501978.250427
base,baseline,2025,1422540591591.5667,1391449833177.3591,1679373859390.3062,0.09012355190039906,0.08525817466990729,,0.7280117083806221,2.0,0.0,36088527006.63617,0.0,1804426350331.8086,7.268667295723799,0.0,-2836564207.635595,121283214232.94704,2879780475880.1494,-20520705895.134003
base,baseline,2026,1456292984637.0215,1422061729507.2612,1712417569339.0208,0.08995465445312091,0.0850731871460393,,0.8849445985482624,3.2713910888188935,2.000000079966605e-07,59365309958.701004,3629.3619882516377,1814680921568.8826,11.7942745084157,8.701664053317959e-07,-3120149556.671584,123891485621.48947,2974916219697.842,-22916655442.492615
base,baseline,2027,1490775097883.1885,1453347087556.421,1746336324030.359,0.08979083270429146,0.08489370392552748,,1.0411811479813176,4.542782177637787,4.00000015993321e-07,82898410798.74976,7299.351883643125,1824837897947.7354,16.248672845040975,1.7011144670578837e-06,-3408411841.5611916,126557419779.24464,3067914213282.495,-25421253459.173645
base,baseline,2028,1526013216501.7485,1485320723482.662,1781167220892.261,0.0896312550106271,0.08471881820729948,,1.1966866585030784,5.814173266456681,6.000000239899816e-07,106678003678.75436,11008.754268767,1834792304766.7773,20.63279035481055,2.4957705245516295e-06,-3702387413.0767236,129282036270.74799,3158823418372.3335,-28024717222.325897
base,baseline,2029,1562038042189.3477,1517997779399.2808,1816952823407.7778,0.08947490329162192,0.08454741761967657,,1.3514160081829956,7.085564355275574,8.00000031986642e-07,130687115233.72171,14755.309686712057,1844413637093.2585,24.946142228462236,3.256520383860638e-06,-4003471884.3828626,132066282690.80475,3247691404747.6816,-30718671179.585236
base,baseline,2030,1598885077113.0718,1551393730546.065,1853741576091.586,0.0893205768210714,0.08437818813287944,,1.5053119804579895,8.356955444094467,1.0000000399833025e-06,154899999999.87573,18535.459142928787,1853545840181.9946,29.18661581135532,3.985224138445645e-06,-4313451052.310628,134911025839.50021,3334564348896.806,-33496221717.249664
base,baseline,2031,1632221355809.8955,1585524392618.0786,1886533126428.4204,0.089432413544838,0.0845008295927416,,1.656460493362263,10.815612661924412,1.000000640774154e-06,200931869745.40936,18577.958066557327,1857794616228.9592,36.55697591528275,3.7871568655904998e-06,-4243966391.938151,137924058644.92563,3419552979881.8804,-36111348455.40674
base,baseline,2032,1666437915605.5735,1620405929255.6763,1920440384198.0083,0.08953333133373549,0.0846114752098307,,1.8047909047072703,13.274269879754357,1.0000012415650054e-06,247078615054.5621,18613.37188839017,1861334877870.7693,43.45707400664049,3.6072523089795813e-06,-4185900920.323424,140999770384.9829,3502695449432.2754,-38579622970.02985
base,baseline,2033,1701582461177.7476,1656054859699.3013,1955524449151.2454,0.08962203093670339,0.0847087076999792,,1.9502241565591627,15.732927097584302,1.0000018423558566e-06,293263853345.8072,18640.167326982275,1864013298522.4102,49.91933764791777,3.4426664350953645e-06,-4142093485.387785,144138851331.31702,3584028915607.718,-40916888858.28735
base,baseline,2034,1737697261208.7705,1692488066612.6858,1991840608588.7856,0.089697678519246,0.08479161989991606,,2.092678430600615,18.191584315414246,1.000002443146708e-06,339407158750.7025,18657.417742587437,1865737215989.0063,55.97148106826918,3.291172881071873e-06,-4114867281.6259894,147342165673.5392,3663589686532.149,-43138805522.00226
base,baseline,2035,1774810626371.6396,1729722804078.1648,2029428759443.2207,0.08976034800701084,0.08486029887715718,,2.2320776420539175,20.65024153324419,1.0000030439375595e-06,385440767999.6911,18665.25099170441,1866519417601.8804,61.63988974202156,3.151105886166032e-06,-4105259071.3316903,150610960204.2519,3741413448506.4927,-45260076805.16159
base,baseline,2036,1808543120906.3884,1767776705767.8845,2063300956622.3748,0.09005340461111185,0.08518135173526113,,2.3665685620626222,24.306942214767467,1.0000053366875913e-06,452765490973.6815,18627.102629411933,1862700322291.4968,70.28029854398838,3.0151348292858137e-06,-3717869840.1935263,154054147710.31396,3817588498597.8345,-47098449387.26422
base,baseline,2037,1843284561966.195,1806667793294.7778,2098495972199.1829,0.090327386698605,0.08548135173325229,,2.4961504087736532,27.963642896290747,1.0000076294376232e-06,519731737448.12463,18586.122868059403,1858598106747.6182,78.37368000011223,2.8894819164330787e-06,-3344517124.586008,157566455985.9062,3892145224708.652,-48680995911.33533
base,baseline,2038,1878980838133.8535,1846414484747.2632,2134960431801.2734,0.09058680114153461,0.08576526289135059,,2.6208533693125724,31.620343577814022,1.000009922187655e-06,586444173995.3733,18546.604067135795,1854642004607.577,85.98089642678185,2.773611073684491e-06,-2978838854.8705344,161151285550.3602,3965114586246.0327,-50029815243.55664
base,baseline,2039,1915554858752.9976,1887035603411.7031,2172616516647.732,0.09083713478061332,0.08603910969768715,,2.740737429294482,35.2770442593373,1.0000122149376869e-06,653087087951.1084,18513.315927717707,1851308979147.9512,93.1675985814951,2.667133606474106e-06,-2612262126.3954654,164812634624.18677,4036528195574.7285,-51161713094.61606
