run,block,label,objective_name,f_opt,feasible,message,n_evaluations,max_constraint_violation,seconds,budget_world_share,biomass_share,elasticity,rate_cap,volume_cap,discount_rate,efuel_pathway,dropped_constraints,ftol_abs,kkt_tol_rel,reference,measured_on,scenario_bnEUR,reference_bnEUR,policy_cost_bnEUR,cumulative_co2_GtCO2,aaf_share_2030,aaf_share_2040,aaf_share_2050,biofuel_share_2050,electrofuel_share_2050,rpk_2050_Tpkm,rpk_cagr_2019_2050_pct
base,baseline,"baseline (eps -0.9, 20 %/yr, 0.2 EJ/yr, r 4.5 %)",surplus,-4.7146126209271335,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,8,3.3951093305534823e-09,245.6,3.122636344,10.0,-0.9,0.2,0.2,0.045,grid electricity,none,0.0,1e-06,ref_fossil_epsm0_9,cumulative_total_surplus_loss_discounted,-47.14612585154358,-193.98647099877562,146.84034514723203,3.8656494899364438,10.343800539145418,38.933745284687035,53.19504197455924,39.299990860390686,13.89505111416855,2.3728819094847564,1.80815415449056
efuel_wind,C,"dedicated-wind electrofuel, no electricity limit",surplus,-5.990667849613632,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,24,2.7509081460992577e-07,1559.4,3.122636344,10.0,-0.9,0.2,0.2,0.045,dedicated wind,electricity_trajectory_constraint,0.0,1e-06,ref_fossil_epsm0_9,cumulative_total_surplus_loss_discounted,-59.90667815834793,-193.98647099877562,134.07979284042767,3.8656503497668626,2.0000010000000006,23.440472700596118,90.40449625853309,41.247160886031786,49.1573353725013,2.2392925287767316,1.6180319933341014
eps_m0_6,A,eps_P = -0.6,surplus,-4.819132759610828,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,10,2.3559282905273828e-07,313.8,3.122636344,10.0,-0.6,0.2,0.2,0.045,grid electricity,none,0.0,1e-06,ref_fossil_epsm0_6,cumulative_total_surplus_loss_discounted,-48.1913272409375,-188.2697222038043,140.07839496286678,3.865650225941037,10.403609719066452,39.068819667111306,51.903260979620754,39.09678138985113,12.80647958976962,2.3875907297060786,1.8284507548690154
eps_m0_8,A,eps_P = -0.8,surplus,-4.743573952279422,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,9,5.5578966057313675e-09,481.5,3.122636344,10.0,-0.8,0.2,0.2,0.045,grid electricity,none,0.0,1e-06,ref_fossil_epsm0_8,cumulative_total_surplus_loss_discounted,-47.43573916573227,-192.09521079252843,144.65947162679618,3.8656495048231174,10.363390722398185,38.97845522526499,52.68740206249081,39.21560225146592,13.471799811024894,2.378971493624381,1.8165718586447
eps_m1_0,A,eps_P = -1.0,surplus,-4.689944674004059,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,8,6.125175421895175e-09,443.5,3.122636344,10.0,-1.0,0.2,0.2,0.045,grid electricity,none,0.0,1e-06,ref_fossil_epsm1,cumulative_total_surplus_loss_discounted,-46.899446381815615,-195.86300272586197,148.96355634404637,3.8656494929127083,10.324546870314004,38.88934939059296,53.73937829369454,39.3988766611086,14.340501632585944,2.3657793910009954,1.7983098078675708
eps_m1_4,A,eps_P = -1.4,surplus,-4.617581691641065,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,10,1.642281386002303e-05,608.4,3.122636344,10.0,-1.4,0.2,0.2,0.045,grid electricity,none,0.0,1e-06,ref_fossil_epsm1_4,cumulative_total_surplus_loss_discounted,-46.172361420680176,-203.21672512391902,157.04436370323884,3.8656495013683996,10.250757748363007,38.714891808936954,55.757494698702835,39.86786299900406,15.889631699698777,2.3325740307919514,1.7519032235248977
fixed_demand,A',fixed demand (no cost feedback),cost,-5.193492559449256,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,10,7.880588282763073e-16,71.6,3.122636344,10.0,n/a,0.2,0.2,0.045,grid electricity,none,0.0,1e-06,ref_fossil_nofeedback,cumulative_total_airline_cost_discounted,4692.788510485996,4567.63587839211,125.15263209388672,3.8656494871983202,10.533126050985583,39.34750158809329,49.017323063178495,38.96245758570412,10.054865477474376,2.397396947505079,1.8419151692292246
r_15,D,discount rate 15 % (extreme),surplus,-2.1613914848971683,True,Successive iterates of the design variables are closer than xtol_rel or xtol_abs. GEMSEO stopped the driver.,5,5.173606207633957e-12,247.5,3.122636344,10.0,-0.9,0.2,0.2,0.15,grid electricity,none,0.0,1e-06,ref_fossil_r0_15,cumulative_total_surplus_loss_discounted,-21.61391484892737,-40.16311595526001,18.549201106332642,3.8656494916221367,2.000001,23.118672600423412,92.04490390438013,43.600602048423575,48.44430185595655,2.093756065946889,1.3979877085049663
r_3_2,D,discount rate 3.2 %,surplus,-5.540261542855212,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,7,2.0133288023714096e-05,483.4,3.122636344,10.0,-0.9,0.2,0.2,0.032,grid electricity,none,0.0,1e-06,ref_fossil_r0_032,cumulative_total_surplus_loss_discounted,-55.39259799910919,-246.44124822934515,191.04865023023595,3.86564949248847,10.343800538671712,38.933745284687035,53.19504143473503,39.299990817449995,13.895050617285033,2.372881913952414,1.8081541606739249
r_7,D,discount rate 7 %,surplus,-3.6817470950904605,True,The KKT residual norm is smaller than the tolerance kkt_tol_abs or kkt_tol_rel. GEMSEO stopped the driver.,8,7.869908036686975e-08,524.1,3.122636344,10.0,-0.9,0.2,0.2,0.07,grid electricity,none,0.0,1e-06,ref_fossil_r0_07,cumulative_total_surplus_loss_discounted,-36.81747077535028,-126.09210717144806,89.27463639609778,3.8656494911936186,6.246927042360389,40.345131285308675,64.3923586100074,40.55485390045098,23.83750470955643,2.2853198935527295,1.684748195634067
