"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_INDCi2030_1200","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4210.212,4508.5627,4764.1087,4960.4404,5140.6513,5353.3227,5555.0376,5744.6308,5931.4073,6103.6752,6271.3345,6430.976,6580.4137
"IMAGE 3.2","SSP1_SPA1_19I_D","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.509954452514,5859.042167663574,2529.5569896698,7482.913970947266,8181.790351867676,8661.852836608887,8750.768661499023,8973.532676696777,9492.274284362791,9888.318061828611,10232.23972320557,10616.76025390625,11030.75981140137,11398.26965332031,11601.09043121338,11544.40021514893,11233.24966430664,10682.99961090088,9935.19115447998
"IMAGE 3.2","SSP1_SPA1_34I_RE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.512100219727,5859.094142913818,2529.588937759399,7468.391895294189,8151.683807373047,8665.407180786133,8946.646690368652,9319.42081451416,10032.69958496094,10942.00992584228,12022.3798751831,13125.10013580322,13802.06966400146,13791.15009307861,13195.63961029053,12165.1201248169,10919.03972625732,9659.294128417969,8500.555038452148
"AIM/CGE 2.2","EN_INDCi2030_1800f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4327.4794,4597.4244,4827.1292,5032.9629,5231.7019,5410.6621,5583.6977,5751.537,5933.094,6102.3518,6268.0769,6426.6509,6577.8051
"AIM/CGE 2.2","EN_INDCi2030_900f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4192.4459,4464.5344,4734.929,4939.0061,5136.3355,5351.0562,5558.6358,5749.6271,5937.8006,6111.5971,6280.2128,6440.4571,6592.7116
"AIM/CGE 2.2","EN_NPi2020_1600f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3364.3289,3717.6369,4032.8188,4323.3793,4591.4986,4820.3158,5023.764,5214.1563,5399.315,5581.1039,5753.3165,5931.3891,6103.6139,6270.4385,6428.3601,6579.228
"IMAGE 3.0","EN_NPi2020_1400f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.726987838745,4483.41178894043,5463.14811706543,6761.715888977051,8052.897453308105,9255.837440490724,10606.34994506836,12189.08977508545,"",14936.45000457764,"",16721.42028808594,"",17772.52006530762,"",19230.72052001953,"",21385.03074645996
"IMAGE 3.0","EN_NoPolicy","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.942930221558,3849.376916885376,4501.249790191649,5498.250961303711,6903.107166290283,8492.790222167969,10104.35009002686,11656.0697555542,13140.83003997803,"",16204.2407989502,"",19215.4598236084,"",22524.12033081055,"",26391.55960083008,"",30010.52093505859
"IMAGE 3.0","EN_INDCi2030_1200","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.284141540526,6745.331764221191,7990.876197814941,8574.819564819336,9058.096885681152,10078.65047454834,"",12278.45001220703,"",15089.57004547119,"",17265.8805847168,"",20267.44079589844,"",23513.6604309082
"IMAGE 3.2","SSP2_SPA2_45I_RE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.545001983643,5859.115123748779,2529.580116271973,7720.174789428711,8600.105285644531,9437.917709350586,10395.42961120606,11732.5496673584,13756.79016113281,16626.65939331055,20137.80975341797,23830.7991027832,26826.26914978028,28219.3603515625,28025.15983581543,26851.48048400879,25301.54037475586,23790.80963134766,22504.7607421875
"IMAGE 3.2","SSP1_SPA1_34I_LI","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.51400756836,5859.074115753174,2529.58607673645,7141.170024871826,7418.041229248047,7488.283157348633,7401.279926300049,7706.233978271484,8321.976661682129,8889.277458190918,9452.997207641602,10055.62973022461,10627.3603439331,10820.91045379639,10775.38013458252,10681.92005157471,10498.25954437256,10322.40009307861,10038.70010375977
"IMAGE 3.0","EN_INDCi2100","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.106914520264,8339.953422546387,9946.677207946776,11566.9002532959,13148.44989776611,"",16049.48997497559,"",18589.35928344726,"",21364.74990844726,"",24679.71038818359,"",27726.65023803711
"IMAGE 3.0","CO_GPP","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.536903381348,3848.829984664917,4482.706069946289,5445.810794830322,6779.693126678467,8286.150932312012,9826.122283935549,11320.09029388428,12754.79030609131,"",15632.69996643066,"",18656.70013427734,"",21521.3508605957,"",24631.34956359864,"",27624.78065490723
"AIM/CGE 2.2","EN_NPi2020_800","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.3459,3595.3541,3907.2649,4240.3874,4515.6821,4719.3486,4923.484,5134.3354,5352.3105,5555.7842,5744.976,5931.6202,6103.9999,6271.6968,6431.3275,6581.6527
"IMAGE 3.2","SSP1_SPA1_34I_LIRE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.512100219727,5859.094142913818,2529.588937759399,7472.471237182617,8176.310539245605,8724.841117858887,9091.01104736328,9549.729347229004,10325.88005065918,11282.97996520996,12405.63011169434,13569.78034973144,14322.85022735596,14340.39974212646,13685.60981750488,12536.91959381104,11198.92978668213,9901.847839355469,8740.673065185547
"IMAGE 3.2","SSP2_SPA2_26I_RE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.545001983643,5859.115123748779,2529.580116271973,7720.111846923828,8599.693298339844,9429.129600524902,10276.08013153076,11362.68997192383,13080.80959320068,15602.95963287354,18694.28062438965,21906.82983398437,24476.28974914551,25627.55966186523,25396.7399597168,24377.99072265625,23127.97927856445,21958.07075500488,20966.20941162109
"IMAGE 3.2","SSP2_SPA2_26I_LI","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.541902542114,5859.077930450439,2529.567956924438,7297.348022460938,7500.086784362793,7446.619033813477,7002.584934234619,6853.079795837402,6860.956192016602,6687.82901763916,6479.280948638916,6385.91480255127,6422.860145568848,6530.662059783936,6662.514209747314,6785.96305847168,6887.792110443115,6965.580940246582,7014.719009399414
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5517.1289,7132.5767,5309.6099,6770.9244,5996.3069,5959.0029,6801.9602,6568.7582,6917.3032,7055.7374,6936.4591,6902.3776,"",7347.564,"",8299.7512,"",9589.8868,"",11057.8311
"AIM/CGE 2.2","EN_INDCi2100","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4033.884,4318.3318,4587.6983,4816.3958,5018.9875,5222.3373,5429.1745,5620.4068,5792.4854,5964.3477,6129.6517,6289.8778,6443.9111,6590.426
"IMAGE 3.2","SSP1_SPA1_26I_RE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.512100219727,5859.094142913818,2529.588937759399,7468.371868133545,8145.342826843262,8640.022277832031,8852.412223815918,9127.756118774414,9730.33618927002,10503.16047668457,11428.42960357666,12397.8796005249,13022.1004486084,13054.92973327637,12573.28033447266,11685.23979187012,10562.45994567871,9394.104957580566,8296.55647277832
"AIM/CGE 2.2","EN_NPi2020_800f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3329.2139,3646.4349,3984.69,4287.9189,4556.2735,4770.3611,4948.8287,5137.2312,5353.726,5554.9899,5747.8411,5932.9254,6098.4889,6269.3168,6433.866,6587.9751
"IMAGE 3.2","SSP2_SPA2_34I_LIRE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.545001983643,5859.115123748779,2529.580116271973,7708.375930786133,8593.032836914062,9453.413009643557,10454.54978942871,11791.9397354126,13836.89975738525,16751.11961364746,20254.32014465332,23804.31938171387,26540.26031494141,27694.13948059082,27366.69921875,26168.11943054199,24693.51959228516,23321.52938842773,22153.62930297852
"IMAGE 3.0","EN_INDCi2030_1000","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.285095214844,6745.412826538086,7429.442882537842,7307.179927825928,7312.329769134521,7365.416049957275,"",8590.088844299316,"",12279.62970733643,"",16073.65036010742,"",19141.3402557373,"",23217.22984313965
"AIM/CGE 2.2","EN_NPi2020_600f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3321.8616,3616.0305,3948.0858,4265.4714,4537.174,4742.1466,4917.7483,5133.1955,5351.2531,5558.2667,5748.5116,5929.1909,6103.9928,6276.0373,6438.1967,6589.8881
"IMAGE 3.0","EN_NPi2020_3000","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.81489944458,3838.924884796143,4454.309940338135,5467.850208282471,6910.38179397583,8539.282798767092,10175.29010772705,11826.62963867188,13444.23961639404,"",16425.73928833008,"",18882.1907043457,"",21540.06004333496,"",24647.14050292969,"",27765.31982421875
"IMAGE 3.0","EN_INDCi2030_800f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.098808288574,7512.784957885742,7259.509086608887,7020.036220550537,6906.991004943848,"",7115.928173065186,"",7971.60005569458,"",9220.179557800291,"",10640.23971557617,"",12119.460105896
"REMIND-Transport 2.1","Transport_Budg1100_H2Push","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5199.3902,5544.3508,7382.6115,11936.5841,13374.4189,12820.4543,12179.0328,10853.5662,9510.1713,8754.6145,7977.8188,7696.1237,"",7473.656,"",7497.525,"",7291.6894,"",7018.1563
