;rpk_init;ask_init;rtk_init;pax_init;freight_init;energy_consumption_init;total_aircraft_distance_init
2000;70215834421.69255;99080209742.21114;2729548589.977204;3603.5582825179567;702729.311782749;192657793439.94165;600602400.6164271
2001;68182080314.7634;98748724928.69257;2561263412.6818614;3534.5906598860347;665743.5585310253;188395452877.11105;604647717.3783344
2002;69939180987.36966;98162616320.13165;2928693755.141953;3588.471615067224;758207.9416603345;190100389102.2433;589622255.1198217
2003;72364359944.18095;101225106037.66171;3106317835.1333556;3801.8401975847346;776700.8182861961;188395452877.11105;613963503.9786122
2004;83419216662.35489;113663854062.03625;3478556325.516172;4265.216412142964;836802.6673202472;201182474565.60278;696303037.155262
2005;90467452962.96117;120715419080.43518;3552897689.5521364;4610.0545253025775;843737.4960549453;208854687578.69778;736409463.3375998
2006;96273892598.14082;126985174623.38002;3800008753.4652147;4864.372633757793;896904.516354298;211412091916.39612;766968941.9618363
2007;104325159410.83807;135831681363.18088;3995478459.400574;5306.196466243547;957006.3653883488;217379368704.35892;807560806.1556032
2008;106529741465.59862;140145191068.3547;3956527838.007353;5388.095518118955;922332.221714858;214821964366.66058;826839630.0380641
2009;105442059810.75278;137506165109.4611;3601926928.706453;5362.232659631984;924643.8312930907;202887410790.735;806012027.7381873
2010;113968131230.81903;145794880458.03442;4356182017.988009;5836.385065226451;1109572.5975517088;213969496254.09445;886872130.7847679
2011;121464842905.69823;155710968949.68356;4369242612.105023;6191.999369422303;1132688.6933340363;219936773042.05725;934838029.533097
2012;127962407572.57791;162260660412.55237;4323680787.318057;6480.801289193479;1118819.0358646398;222494177379.75558;958254634.5605947
2013;134990972075.67342;169838324654.8613;4340879162.580109;6769.603208964654;1144246.7412251998;228461454167.71838;987981933.7366675
2014;143059391031.44116;179455683840.71542;4542960071.909213;7155.390848061972;1181232.4944769233;235281199068.2473;1027741618.4822704
2015;153786553975.8048;191661444735.6999;4601281981.568025;7672.648017801392;1185855.713633389;248068220756.739;1079614137.4178128
2016;165152900084.6456;205706946345.71237;4765961047.921325;8185.594711126316;1229776.2956198107;260855242445.23074;1137404376.873631
2017;178376323980.3512;218926972175.338;5204981939.019284;8763.198550668669;1317617.4595926544;277904604696.553;1192513149.2186992
2018;191373117673.00693;234037894639.958;5357155197.554344;9334.336675589277;1359226.4320008433;290691626385.0447;1254718562.9689417
2019;200778710305.39914;243665517372.33948;5201144667.119418;9668.398597712652;1331487.1170620506;294101498835.30914;1299101466.87101
