year;aircraft_departures;total_aircraft_distance;passengers;rpk;ask;load_factor;freight_tonnes;rtk
1929;;90000000.0;;170000000.0;;;;
1930;;120000000.0;;270000000.0;;;;
1931;;135000000.0;;330000000.0;;;;
1932;;140000000.0;;405000000.0;;;;
1933;;155000000.0;;545000000.0;;;;
1934;;160000000.0;;650000000.0;;;;
1935;;200000000.0;;920000000.0;;;;
1936;;230000000.0;;1225000000.0;;;;
1937;;265000000.0;;1410000000.0;;;;
1938;;300000000.0;;1685000000.0;;;;
1939;;295000000.0;;2030000000.0;;;;
1940;;300000000.0;;2530000000.0;;;;
1941;;340000000.0;;3280000000.0;;;;
1942;;320000000.0;;3580000000.0;;;;
1943;;325000000.0;;4265000000.0;;;;
1944;;415000000.0;;5490000000.0;;;;
1945;;600000000.0;9000000.0;8000000000.0;;;;240000000.0
1946;;940000000.0;18000000.0;16000000000.0;;;;220000000.0
1947;;1140000000.0;21000000.0;19000000000.0;;;;400000000.0
1948;;1270000000.0;24000000.0;21000000000.0;;;;590000000.0
1949;;1350000000.0;27000000.0;24000000000.0;;;;760000000.0
1950;;1440000000.0;31000000.0;28000000000.0;46000000000.0;60.9;;930000000.0
1951;;1620000000.0;42000000.0;35000000000.0;55000000000.0;63.6;;1100000000.0
1952;;1780000000.0;46000000.0;40000000000.0;64000000000.0;62.5;;1200000000.0
1953;;1950000000.0;53000000.0;47000000000.0;75000000000.0;62.7;;1270000000.0
1954;;2060000000.0;59000000.0;52000000000.0;86000000000.0;60.5;;1370000000.0
1955;;2290000000.0;68000000.0;61000000000.0;99000000000.0;61.6;;1610000000.0
1956;;2540000000.0;77000000.0;71000000000.0;114000000000.0;62.3;;1800000000.0
1957;;2840000000.0;86000000.0;82000000000.0;133000000000.0;61.7;;1960000000.0
1958;;2930000000.0;88000000.0;85000000000.0;146000000000.0;58.2;;2040000000.0
1959;;3090000000.0;98000000.0;98000000000.0;162000000000.0;60.5;;2350000000.0
1960;6600000.0;3110000000.0;106000000.0;109000000000.0;184000000000.0;59.2;;2650000000.0
1961;6600000.0;3120000000.0;111000000.0;117000000000.0;212000000000.0;55.2;;3080000000.0
1962;6600000.0;3240000000.0;121000000.0;130000000000.0;243000000000.0;53.5;;3580000000.0
1963;6700000.0;3430000000.0;135000000.0;147000000000.0;274000000000.0;53.6;;3970000000.0
1964;7100000.0;3700000000.0;155000000.0;171000000000.0;306000000000.0;55.9;;4670000000.0
1965;7500000.0;4100000000.0;177000000.0;198000000000.0;354000000000.0;55.9;;5900000000.0
1966;7800000.0;4480000000.0;200000000.0;229000000000.0;397000000000.0;57.7;;7230000000.0
1967;8600000.0;5280000000.0;233000000.0;273000000000.0;479000000000.0;57.0;;8420000000.0
1968;9074000.0;5993000000.0;260000000.0;309422000000.0;578885000000.0;53.5;;10503000000.0
1969;9473000.0;6704000000.0;293000000.0;350899000000.0;674973000000.0;52.0;4000000.0;12286000000.0
1970;9486000.0;7004000000.0;383000000.0;460481000000.0;839930000000.0;54.8;6100000.0;15087000000.0
1971;9546000.0;7054000000.0;411000000.0;494137000000.0;914070000000.0;54.1;6700000.0;16125000000.0
1972;9646000.0;7209000000.0;450000000.0;560078000000.0;980766000000.0;57.1;7300000.0;17801000000.0
1973;9889000.0;7520000000.0;489000000.0;618184000000.0;1072599000000.0;57.6;8199999.999999999;20408000000.0
1974;9613000.0;7375000000.0;514000000.0;656426000000.0;1107532000000.0;59.3;8700000.0;21900000000.0
1975;9683000.0;7516000000.0;534000000.0;697285000000.0;1178880000000.0;59.1;8700000.0;22270000000.0
1976;9986000.0;7840000000.0;576000000.0;763762000000.0;1269815000000.0;60.1;9300000.0;24571000000.0
1977;10118000.0;8089000000.0;610000000.0;818300000000.0;1346260000000.0;60.8;10000000.0;26805000000.0
1978;10379000.0;8498000000.0;679000000.0;936352000000.0;1451184000000.0;64.5;10600000.0;29205000000.0
1979;10666000.0;9147000000.0;754000000.0;1060236000000.0;1607188000000.0;66.0;11000000.0;31436000000.0
