AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME
1000101,10001,01A,Afognak Lake Airport,"Afognak Lake, AK",United States
1000301,10003,03A,Bear Creek Mining Strip,"Granite Mountain, AK",United States
1000401,10004,04A,Lik Mining Camp,"Lik, AK",United States
1000501,10005,05A,Little Squaw Airport,"Little Squaw, AK",United States
1000601,10006,06A,Kizhuyak Bay,"Kizhuyak, AK",United States
1000701,10007,07A,Klawock Seaplane Base,"Klawock, AK",United States
1000801,10008,08A,Elizabeth Island Airport,"Elizabeth Island, AK",United States
1000901,10009,09A,Augustin Island,"Homer, AK",United States
1001001,10010,1B1,Columbia County,"Hudson, NY",United States
1001002,10010,1B1,Columbia County,"Hudson, NY",United States
1001101,10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States
1001102,10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States
1001103,10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States
1001104,10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States
1001201,10012,1N7,Blairstown Airport,"Blairstown, NJ",United States
1001301,10013,8F3,Crosbyton Municipal,"Crosbyton, TX",United States
1001401,10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",United States
1001402,10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",United States
1001403,10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",United States
1001501,10015,A02,Deadmans Bay Airport,"Deadmans Bay, AK",United States
1001601,10016,A03,Hallo Bay Airport,"Hallo Bay, AK",United States
1001701,10017,A04,Red Lake Airport,"Red Lake, AK",United States
1001801,10018,A05,Shell Lake Airport,"Shell Lake, AK",United States
1001901,10019,A06,Navigator Airstrip,"Kougarok, AK",United States
1002001,10020,A07,Roland Norton Memorial Airstrip,"Selawik, AK",United States
1002002,10020,A07,Roland Norton Memorial,"Selawik, AK",United States
1002101,10021,A08,Pillar Bay Airport,"Pillar Bay, AK",United States
1002201,10022,JOH,Johnstone Point Airport,"Johnstone Point, AK",United States
1002202,10022,A09,Johnstone Point Airport,"Johnstone Point, AK",United States
1002203,10022,A09,Johnstone Point Airport,"Johnstone Point, AK",United States
